"item_id","name","type","acctype","grade","material","weight","invgfx","grdgfx","itemdesc_id","ac","safenchant","use_royal","use_knight","use_mage","use_elf","use_darkelf","use_dragonknight","use_blackwizard","use_warrior","add_str","add_con","add_dex","add_int","add_wis","add_cha","add_hp","add_mp","add_hpr","add_mpr","add_sp","min_lvl","max_lvl","m_def","haste_item","damage_reduction","weight_reduction","hit_rate","dmg_rate","bow_hit_rate","bow_dmg_rate","bless","trade","cant_delete","max_use_time","defense_water","defense_wind","defense_fire","defense_earth","regist_stun","regist_stone","regist_sleep","regist_freeze","regist_sustain","regist_blind","regist_DESPERADO","PVPcalcPcDefense","PVPweaponTotalDamage","MainId","MainId2","MainId3","Set_Id","Magic_name","ignore_reduction_by_armor"
"8222","Enhanced Dragon Relic (Strength)","ron","0","-1","silver","1000","5442","24","0","-3","-1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","3","0","0","10","0","0","0","0","3","0","3","1","1","0","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8223","Enhanced Dragon Relic (Agility)","ron","0","-1","silver","1000","5440","24","0","-3","-1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","3","0","0","10","0","0","0","0","3","0","3","1","1","0","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8224","Enhanced Dragon Relic (Knowledge)","ron","0","-1","silver","1000","5444","24","0","-3","-1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","3","0","0","10","0","0","0","0","3","0","3","1","1","0","3600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8825","Sacred Bow Ring","ring","9","1","gold","1000","8438","21","15469","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","450","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8826","Sacred Demon King's Ring","ring","9","0","gold","5000","8436","6960","17733","0","0","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8827","Ring of Sacred Spirit","ring","9","0","gold","5000","8434","6954","17732","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8828","Sacred Belt of Protection","belt","10","0","leather","50000","8405","15452","17692","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","50","0","1","0","0","30","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8829","Sacred Ring of Strength","ring","9","1","gold","5000","8426","11721","17688","0","0","1","1","1","1","1","1","1","1","1","0","0","0","1","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8830","Divine Ring of Dexterity","ring","9","1","gold","5000","8424","11721","17689","0","0","1","1","1","1","1","1","1","1","0","0","1","0","1","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"8831","Ring of Sacred Knowledge","ring","9","1","gold","5000","8428","11721","17690","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
