"id","note","sets","polyid","ac","hp","mp","hpr","mpr","mr","str","dex","con","wis","cha","intl","sp","shorthitup","shortdmgup","longhitup","longdmgup","earth","fire","wind","water"
"1","Daemon Set","20009,20099,20165,20197","3889","-2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Death Knight Set","20010,20100,20166,20198","15154","-10","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Anti-King Set","20024,20118,20170,20203","15232","-3","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Kurtz Set","20041,20150,20184,20214","14923","-8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Kerenis Set","20042,20151,20185,20215","15223","-2","0","100","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","pumpkin","20047","1125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Death","20342","3899","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Rabbit","20343","4767","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Karat Rabbit","20344","8112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","skeleton","20278","2374","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Orc Warrior","20277","3864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Werewolf","20250","3865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Heiko Lee","20345","4928","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","High Raccoon","20346","4929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Hakama","20347","4227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","visiting clothes","20348","3750","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Collie","20349","938","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Snowman","20350","2064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Snowman Set","20351,20352","2064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Imitation pestle","20420","5719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
