"day","itemid","count","itemid_pcbang","count_pcbang"
"1","41159","1","41159","10"
"2","41159","1","41159","10"
"3","41159","3","41159","10"
"4","41159","5","41159","10"
"5","41159","3","41159","10"
"6","41159","10","41159","10"
"7","41159","5","41159","10"
"8","41159","1","41159","10"
"9","41159","5","41159","10"
"10","41159","1","41159","10"
"11","41159","5","41159","10"
"12","41159","50","41159","10"
"13","41159","1","41159","10"
"14","41159","2","41159","10"
"15","41159","2","41159","20"
"16","41159","10","41159","20"
"17","41159","1","41159","20"
"18","41159","1","41159","20"
"19","41159","200","41159","20"
"20","41159","20","41159","20"
"21","41159","2","41159","20"
"22","41159","500","41159","20"
"23","41159","5","41159","20"
"24","41159","100","41159","10"
"25","41159","1","41159","20"
"26","41159","1","41159","20"
"27","41159","500","41159","20"
"28","41159","10","41159","100"
"29","41159","10","41159","100"
"30","41159","10","41159","100"
"31","41159","10","41159","100"
"32","41159","10","41159","100"
"33","41159","10","41159","100"
"34","41159","10","41159","100"
"35","41159","10","41159","100"
"36","41159","10","41159","100"
"37","41159","10","41159","100"
"38","41159","10","41159","100"
"39","41159","10","41159","100"
"40","41159","10","41159","100"
"41","41159","10","41159","100"
"42","41159","10","41159","100"
