"item_id","note"
"7022","フォーノーストーテム"
"40018","強化 ヘイスト ポーション"
"40044","ダイアモンド"
"40045","ルビー"
"40046","サファイア"
"40047","エメラルド"
"40048","高級 ダイアモンド"
"40049","高級 ルビー"
"40050","高級 サファイア"
"40051","高級 エメラルド"
"40052","最高級 ダイアモンド"
"40053","最高級 ルビー"
"40054","最高級 サファイア"
"40055","最高級 エメラルド"
"40074","防具強化スクロール"
"40076","古代のスクロール"
"40077","古代の武器年金巻物"
"40078","古代人の呪術スクロール"
"40087","武器強化スクロール"
"40088","変身スクロール"
"40090","ブランク スクロール(Lv1)"
"40091","ブランク スクロール(Lv2)"
"40092","ブランク スクロール(Lv3)"
"40093","ブランク スクロール(Lv4)"
"40094","ブランク スクロール(Lv5)"
"40131","ガンジのトーテム"
"40132","ネルガのトーテム"
"40133","ドゥダ-マラのトーテム"
"40134","ロバのトーテム"
"40135","アトゥバのトーテム"
"40308","アデナ"
"40397","キメラの皮：ドラゴン"
"40398","キメラの皮：ヤギ"
"40399","キメラの皮：ライオン"
"40400","キメラの皮：スネーク"
"40466","ドラゴンの心臓"
"40710","友人のバッグ"
"41159","\f7  ピクシーの羽"
"140074","防具強化スクロール"
"140087","武器強化スクロール"
"140100","テレポート スクロール"
"140129","祝福された古代の鎧魔法の巻物"
"140130","カルバスのスクロール"
"240074","防具強化スクロール"
"240087","武器強化スクロール"
"410047","ドワーフのキノコ"
"410048","ドワーフのお守り"
"410049","古い水のパール"
"410050","古いホワイトクリスタル"
"410051","水竜の乾いた涙"
"410052","地竜の乾いた涙"
"410053","風竜の乾いた涙"
"410054","火竜の乾いた涙"
"410093","満月の精気"
"700015","アイスクイーンの涙"
"810007","マジック ワンド(浄化)"
"810008","悪霊の種"
"3000028","するパスのこだわり"
"3000033","\fH神秘的なキューブ"
"3000121","神秘的な武器箱"
