"item_id","name","bless","enchantlvl","attr_enchantlvl","price"
"9","オリハルコン ダガー","0","0","0","300000"
"9","オリハルコン ダガー","0","1","0","305000"
"9","オリハルコン ダガー","0","2","0","310000"
"9","オリハルコン ダガー","0","3","0","315000"
"9","オリハルコン ダガー","0","4","0","320000"
"9","オリハルコン ダガー","0","5","0","325000"
"9","オリハルコン ダガー","0","6","0","330000"
"9","オリハルコン ダガー","0","7","0","450000"
"9","オリハルコン ダガー","0","8","0","700000"
"9","オリハルコン ダガー","0","9","0","1250000"
"9","オリハルコン ダガー","0","10","0","2500000"
"9","オリハルコン ダガー","0","11","0","7000000"
"9","オリハルコン ダガー","0","12","0","16000000"
"9","オリハルコン ダガー","1","0","0","300000"
"9","オリハルコン ダガー","1","1","0","305000"
"9","オリハルコン ダガー","1","2","0","310000"
"9","オリハルコン ダガー","1","3","0","315000"
"9","オリハルコン ダガー","1","4","0","320000"
"9","オリハルコン ダガー","1","5","0","325000"
"9","オリハルコン ダガー","1","6","0","330000"
"9","オリハルコン ダガー","1","7","0","450000"
"9","オリハルコン ダガー","1","8","0","700000"
"9","オリハルコン ダガー","1","9","0","1250000"
"9","オリハルコン ダガー","1","10","0","2500000"
"9","オリハルコン ダガー","1","11","0","7000000"
"9","オリハルコン ダガー","1","12","0","16000000"
"12","\aH風刃の短剣","0","0","0","7000000"
"12","\aH風刃の短剣","0","1","0","15000000"
"12","\aH風刃の短剣","0","2","0","28000000"
"12","\aH風刃の短剣","0","3","0","45000000"
"12","\aH風刃の短剣","0","4","0","90000000"
"12","\aH風刃の短剣","0","5","0","130000000"
"12","\aH風刃の短剣","1","0","0","7000000"
"12","\aH風刃の短剣","1","1","0","15000000"
"12","\aH風刃の短剣","1","2","0","28000000"
"12","\aH風刃の短剣","1","3","0","45000000"
"12","\aH風刃の短剣","1","4","0","90000000"
"12","\aH風刃の短剣","1","5","0","130000000"
"57","ツルギ","0","0","0","40000"
"57","ツルギ","0","1","0","40000"
"57","ツルギ","0","2","0","40000"
"57","ツルギ","0","3","0","40000"
"57","ツルギ","0","4","0","40000"
"57","ツルギ","0","5","0","40000"
"57","ツルギ","0","6","0","40000"
"57","ツルギ","0","7","0","120000"
"57","ツルギ","0","8","0","300000"
"57","ツルギ","0","9","0","700000"
"57","ツルギ","0","10","0","1500000"
"57","ツルギ","0","11","0","4000000"
"57","ツルギ","1","0","0","40000"
"57","ツルギ","1","1","0","40000"
"57","ツルギ","1","2","0","40000"
"57","ツルギ","1","3","0","40000"
"57","ツルギ","1","4","0","40000"
"57","ツルギ","1","5","0","40000"
"57","ツルギ","1","6","0","40000"
"57","ツルギ","1","7","0","120000"
"57","ツルギ","1","8","0","300000"
