"item_id","drop_rate","drop_amount","note"
"9","1","1","オリハルコン ダガー"
"11","1","1","クリスタル ショートソード"
"15","1","1","魔力を失ったカーツ ソード"
"58","1","1","デスナイト フレイムブレード"
"62","1","1","ジェネラル グレートソード"
"84","1","1","ダークネス デュアルブレード"
"108","1","1","魔力を失ったデーモン スタッフ"
"109","1","1","魔力を失ったバフォメット スタッフ"
"110","1","1","魔力を失ったベレス スタッフ"
"111","1","1","魔力を失ったアイスクイーン スタッフ"
"164","1","1","ダークネス クロウ"
"189","1","1","ダークネス クロスボウ"
"190","1","1","サイハの弓"
"1121","1","1","\aFナイトバルドのツーハンド ソード"
"1122","1","1","破壊のロングボウ"
"1123","1","1","ブラッドサッカー"
"5559","1","1","\aE闇精霊の水晶(アーマー ブレイク)"
"20049","1","1","アントクイーン ゴールデンウィング "
"20050","1","1","アントクイーン シルバーウィング "
"20092","1","1","エンシェント レザー アーマー "
"20093","1","1","エンシェント ローブ "
"20094","1","1","エンシェント スケイル メイル "
"20095","1","1","エンシェント プレート メイル "
"20116","1","1","バランカ アーマー "
"20117","1","1","バフォメット アーマー "
"20175","1","1","クリスタル グローブ "
"20187","1","1","パワー グローブ "
"20204","1","1","ベレス ブーツ "
"20314","1","1","エンシェント ジャイアント リング "
"20317","2","1","オーガ ベルト "
"20320","1","1","タイタン ベルト "
"22007","1","1","テーベ オシリス ベルト "
"22008","1","1","魔王のリング"
"22009","1","1","気迫のリング"
"22194","1","1","ゼブ レクイの牙 "
"22195","1","1","ゼブ レクイの魔眼 "
"22261","1","1","ストーン グローブ "
"22263","1","1","反逆者の盾"
"22360","1","1","指揮官のヘルム "
"30117","1","1","封印された極寒のチェーンソード"
"30118","1","1","封印された冷寒のキーリンク"
"40074","1","1","防具強化スクロール"
"40087","1","1","武器強化スクロール"
"40166","2","1","技術書(バウンス アタック)"
"40205","1","1","魔法書(インビジビリティ)"
"40219","1","1","魔法書(メテオ ストライク)"
"40222","1","1","\aE魔法書(ディスインテグレート)"
"40223","1","1","魔法書(アブソルートバリア)"
"40249","1","1","精霊の水晶(アース バインド)"
"40346","1","1","アンタラスの心臓"
"40354","1","1","ヴァラカスの心臓"
"40362","1","1","パプリオンの心臓"
"40370","1","1","リンドビオルの心臓"
"40473","1","1","堕落の鎌"
"40475","1","1","堕落の頭"
"40513","1","1","オーガの血"
"41147","1","1","技術書(ソリッド キャリッジ)"
"41148","1","1","\aE技術書(カウンター バリア)"
"41149","1","1","\aE精霊の水晶(ソウル オブ フレイム)"
"41152","1","1","精霊の水晶(ポルート ウォーター)"
"100009","1","1","オリハルコン ダガー"
"100011","1","1","#N/A"
"100062","1","1","ジェネラル グレートソード"
"100084","1","1","ダークネス デュアルブレード"
"100164","1","1","ダークネス クロウ"
"100189","1","1","ダークネス クロスボウ"
"120317","2","1","オーガ ベルト "
"120320","1","1","タイタン ベルト "
"140074","1","1","防具強化スクロール"
"140087","1","1","武器強化スクロール"
"202002","1","1","レッドナイト グレートソード"
"222304","1","1","投影のネックレス"
"222310","1","1","クリップボードのネックレス"
"222311","1","1","セマのリング"
"240074","1","1","防具強化スクロール"
"240087","1","1","武器強化スクロール"
