"mobId","mobname","moblevel","itemId","itemname","min","max","chance","Enchant"
"5017","Black Knight","55","102","Lucerne Hammer","1","1","1","0"
"5017","Black Knight","55","20006","Night Visor","1","1","2000","0"
"5017","Black Knight","55","20115","Sprint Mail","1","1","2000","0"
"5017","Black Knight","55","20231","Tower Shield","1","1","2000","0"
"5017","Black Knight","55","22263","Rebel Shield","1","1","5","0"
"5017","Black Knight","55","40013","Haste Potion","1","3","10000","0"
"5017","Black Knight","55","40313","Baphomet Prison Key","1","1","300","0"
"5017","Black Knight","55","80478","Soul Stone (Black Knight Captain)","1","1","500","0"
"5018","Lupus","54","29","Silver Long Sword","1","1","3000","0"
"5018","Lupus","54","106","Bec de Corbin","1","1","3000","0"
"5018","Lupus","54","20210","dark boots","1","1","2000","0"
"5018","Lupus","54","40013","Haste Potion","1","3","10000","0"
"5018","Lupus","54","40208","Spellbook (Life Stream)","1","1","3000","0"
"5018","Lupus","54","40227","Spellbook (Glowing Weapon)","1","1","1500","0"
"5018","Lupus","54","40229","Spellbook (Shining Shield)","1","1","1500","0"
"5018","Lupus","54","40230","Spellbook (Brave Mental)","1","1","1500","0"
"5018","Lupus","54","40261","Spirit Crystal (Wind Walk)","1","1","10000","0"
"5018","Lupus","54","40313","Baphomet Prison Key","1","1","300","0"
"5018","Lupus","54","210016","Memory Crystal (Panic)","1","1","1500","0"
"5018","Lupus","54","210017","Memory Crystal (reduced weight)","1","1","1500","0"
"5018","Lupus","54","210018","Crystal of Memory (Illusion [Avatar])","1","1","1500","0"
"5018","Lupus","54","210019","Crystal of Memory (Cube [Balance])","1","1","1500","0"
"5019","Sharsky the Gale","65","1123","Bloodsucker","1","1","300","0"
"5019","Sharsky the Gale","65","22003","Ancient Warrior's Guard","1","1","500","0"
"5019","Sharsky the Gale","65","22263","Rebel Shield","1","1","50","0"
"5019","Sharsky the Gale","65","22360","Commander's Helm","1","1","500","0"
"5019","Sharsky the Gale","65","40054","Top quality sapphire","1","1","10000","0"
"5019","Sharsky the Gale","65","40074","Armor Enhancement Scroll","1","1","30000","0"
"5019","Sharsky the Gale","65","40087","Weapon Enhancement Scroll","1","1","20000","0"
"5019","Sharsky the Gale","65","40308","Adena","150","250","1000000","0"
"5019","Sharsky the Gale","65","140074","Armor Enhancement Scroll","1","1","6000","0"
"5019","Sharsky the Gale","65","140087","Weapon Enhancement Scroll","1","1","3000","0"
"5020","Storm Sharsky","65","1123","Bloodsucker","1","1","300","0"
"5020","Storm Sharsky","65","22003","Ancient Warrior's Guard","1","1","500","0"
"5020","Storm Sharsky","65","22263","Rebel Shield","1","1","50","0"
"5020","Storm Sharsky","65","22360","Commander's Helm","1","1","500","0"
"5020","Storm Sharsky","65","40054","Top quality sapphire","1","1","10000","0"
"5020","Storm Sharsky","65","40074","Armor Enhancement Scroll","1","1","30000","0"
"5020","Storm Sharsky","65","40087","Weapon Enhancement Scroll","1","1","20000","0"
"5020","Storm Sharsky","65","40308","Adena","150","250","1000000","0"
"5020","Storm Sharsky","65","140074","Armor Enhancement Scroll","1","1","6000","0"
"5020","Storm Sharsky","65","140087","Weapon Enhancement Scroll","1","1","3000","0"
"5021","Four North Oak Gombyon","50","7022","Four Nose Totem","1","1","20000","0"
"5021","Four North Oak Gombyon","50","7023","Bag of gold coins","1","1","10000","0"
"5021","Four North Oak Gombyon","50","20003","Iron Helm","1","1","500","0"
"5021","Four North Oak Gombyon","50","20163","Iron Glove","1","1","500","0"
"5021","Four North Oak Gombyon","50","20194","Iron Boots","1","1","500","0"
"5021","Four North Oak Gombyon","50","20220","Iron Shield","1","1","500","0"
"5021","Four North Oak Gombyon","50","93003","Iron Boots","1","1","500","0"
"5021","Four North Oak Gombyon","50","222304","Projection Necklace","1","1","10","0"
"5022","Four North Oak Axe","50","7022","Four Nose Totem","1","1","20000","0"
"5022","Four North Oak Axe","50","7023","Bag of gold coins","1","1","10000","0"
"5022","Four North Oak Axe","50","20003","Iron Helm","1","1","500","0"
"5022","Four North Oak Axe","50","20163","Iron Glove","1","1","500","0"
"5022","Four North Oak Axe","50","20194","Iron Boots","1","1","500","0"
"5022","Four North Oak Axe","50","20220","Iron Shield","1","1","500","0"
"5022","Four North Oak Axe","50","93003","Iron Boots","1","1","500","0"
"5022","Four North Oak Axe","50","222304","Projection Necklace","1","1","10","0"
"5023","Four North Orc Archers","50","7022","Four Nose Totem","1","1","20000","0"
"5023","Four North Orc Archers","50","7023","Bag of gold coins","1","1","10000","0"
"5023","Four North Orc Archers","50","20003","Iron Helm","1","1","500","0"
"5023","Four North Orc Archers","50","20163","Iron Glove","1","1","500","0"
"5023","Four North Orc Archers","50","20194","Iron Boots","1","1","500","0"
"5023","Four North Orc Archers","50","20220","Iron Shield","1","1","500","0"
"5023","Four North Orc Archers","50","93003","Iron Boots","1","1","500","0"
"5023","Four North Orc Archers","50","222304","Projection Necklace","1","1","10","0"
"5024","Four North Orc Shaman","50","7022","Four Nose Totem","1","1","20000","0"
"5024","Four North Orc Shaman","50","7023","Bag of gold coins","1","1","10000","0"
"5024","Four North Orc Shaman","50","20003","Iron Helm","1","1","500","0"
"5024","Four North Orc Shaman","50","20163","Iron Glove","1","1","500","0"
"5024","Four North Orc Shaman","50","20194","Iron Boots","1","1","500","0"
"5024","Four North Orc Shaman","50","20220","Iron Shield","1","1","500","0"
"5024","Four North Orc Shaman","50","93003","Iron Boots","1","1","500","0"
"5024","Four North Orc Shaman","50","222304","Projection Necklace","1","1","10","0"
"5026","Stone Golem","53","22261","Stone Globe","1","1","100","0"
"5026","Stone Golem","53","40190","Spellbook (Eruption)","1","1","1500","0"
"5026","Stone Golem","53","40249","Spirit Crystal (Earth Bind)","1","1","50","0"
"5026","Stone Golem","53","40250","Spirit Crystal (Earth Guardian)","1","1","3000","0"
"5026","Stone Golem","53","40308","Adena","200","300","1000000","0"
"5026","Stone Golem","53","40317","grindstone","1","1","30000","0"
"5027","broad-legged wolf","48","40308","Adena","200","300","1000000","0"
"5029","Dwarf Wizard","55","125","Sorcery Staff","1","1","3000","0"
"5029","Dwarf Wizard","55","142","Silver Axe","1","1","3000","0"
"5029","Dwarf Wizard","55","148","Great Axe","1","1","3000","0"
"5029","Dwarf Wizard","55","40044","Diamond","1","1","5000","0"
"5029","Dwarf Wizard","55","40045","Ruby","1","1","5000","0"
"5029","Dwarf Wizard","55","40046","sapphire","1","1","5000","0"
"5029","Dwarf Wizard","55","40047","Emerald","1","1","5000","0"
"5029","Dwarf Wizard","55","40308","Adena","100","150","1000000","0"
"5030","wolf","52","102","Lucerne Hammer","1","1","10000","0"
"5030","wolf","52","20122","Scale Mail","1","1","10000","0"
"5030","wolf","52","40308","Adena","100","200","1000000","0"
"5031","Lycanthrope","57","102","Lucerne Hammer","1","1","10000","0"
"5031","Lycanthrope","57","20122","Scale Mail","1","1","10000","0"
"5031","Lycanthrope","57","40087","Weapon Enhancement Scroll","1","1","2000","0"
"5031","Lycanthrope","57","40308","Adena","100","200","1000000","0"
"5031","Lycanthrope","57","140087","Weapon Enhancement Scroll","1","1","1000","0"
"5032","Dwarf inspection","52","142","Silver Axe","1","1","3000","0"
"5032","Dwarf inspection","52","148","Great Axe","1","1","3000","0"
"5032","Dwarf inspection","52","40044","Diamond","1","1","5000","0"
"5032","Dwarf inspection","52","40045","Ruby","1","1","5000","0"
"5032","Dwarf inspection","52","40046","sapphire","1","1","5000","0"
"5032","Dwarf inspection","52","40047","Emerald","1","1","5000","0"
"5032","Dwarf inspection","52","40308","Adena","100","150","1000000","0"
"5033","Midget Spearman","52","142","Silver Axe","1","1","3000","0"
"5033","Midget Spearman","52","148","Great Axe","1","1","3000","0"
"5033","Midget Spearman","52","40044","Diamond","1","1","5000","0"
"5033","Midget Spearman","52","40045","Ruby","1","1","5000","0"
"5033","Midget Spearman","52","40046","sapphire","1","1","5000","0"
"5033","Midget Spearman","52","40047","Emerald","1","1","5000","0"
"5033","Midget Spearman","52","40308","Adena","100","150","1000000","0"
"5034","Oak Rubber","52","20101","Banded Mail","1","1","2000","0"
"5034","Oak Rubber","52","20125","Chain Mail","1","1","2000","0"
"5034","Oak Rubber","52","20149","Bronze Plate Mail","1","1","2000","0"
"5034","Oak Rubber","52","40308","Adena","100","200","1000000","0"
"5035","Orc Archer","52","169","Hunter Bow","1","1","5000","0"
"5035","Orc Archer","52","20101","Banded Mail","1","1","2000","0"
"5035","Orc Archer","52","20125","Chain Mail","1","1","2000","0"
"5035","Orc Archer","52","20149","Bronze Plate Mail","1","1","2000","0"
"5035","Orc Archer","52","40308","Adena","100","200","1000000","0"
"5036","Orc Wizard","55","125","Sorcery Staff","1","1","5000","0"
"5036","Orc Wizard","55","20101","Banded Mail","1","1","2000","0"
"5036","Orc Wizard","55","20125","Chain Mail","1","1","2000","0"
"5036","Orc Wizard","55","20149","Bronze Plate Mail","1","1","2000","0"
"5036","Orc Wizard","55","40308","Adena","100","200","1000000","0"
