"item_id","name","item_type","use_type","material","weight","invgfx","grdgfx","itemdesc_id","stackable","max_charge_count","dmg_small","dmg_large","min_lvl","max_lvl","locx","locy","mapid","bless","trade","cant_delete","delay_id","delay_time","delay_effect","food_volume","save_at_once"
"740","Magic Doll: Scarecrow","other","normal","wood","1000","6962","6174","16109","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"741","Magic Doll: Lava Golem","other","normal","wood","1000","6960","6174","16107","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"742","Magic Doll: Dia Golem","other","normal","wood","1000","6961","6174","16108","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"743","Magic Doll: Nightvald","other","normal","wood","1000","6875","6174","16056","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"744","Magic Doll: Sheer","other","normal","wood","1000","6878","6174","16058","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"745","Magic Doll: Demon","other","normal","wood","1000","6876","6174","16057","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"746","Magic Doll: Death Knight","other","normal","wood","1000","6877","6174","16057","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"750","Magic Doll: Snowball Fight Fairy","other","normal","wood","1000","6815","6174","16051","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"751","Magic Doll: Mommy Road","other","normal","wood","1000","7413","6174","16058","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"752","Magic Doll: Depravity","other","normal","wood","1000","8080","6174","16057","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"5548","Magic Scroll","treasure_box","normal","leather","0","917","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"5558","Protection from the Summit","other","normal","steel","12000","7091","22","16331","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1"
"5559","Dark Spirit Crystal (Armor Break)","spellbook","normal","gemstone","7000","4244","9311","0","1","0","0","0","60","0","0","0","0","1","0","0","3","1000","0","0","1"
"5560","Magic Book (Brave Avatar)","spellbook","normal","paper","7000","252","776","0","1","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"5564","Scarecrow robot","scroll","normal","paper","0","5807","12428","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"5565","Virtual Robot","scroll","normal","paper","0","5807","12428","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"5984","Gift Box (Womb Solo)","treasure_box","normal","paper","1","3969","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"5985","Gift Box (Solo Dignity)","treasure_box","normal","paper","1","3788","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"5986","Gift Box (Invincible Solo Squad)","treasure_box","normal","paper","1","3968","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"5987","Gift Box (Solo Heaven Couple Hell)","treasure_box","normal","paper","1","4069","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"5988","Abyss Point Potion","other","normal","glass","0","1530","20","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1000","0","0","1"
"5989","Clan EXP Potion","other","normal","glass","0","2242","20","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1000","0","0","1"
"7010","Blessed Order (Probability)","scroll","dai","paper","1","212","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"7011","Blessed Order 100%","scroll","choice","paper","1","212","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"7020","Crafting Village Teleport Scroll","scroll","normal","paper","630","1815","22","0","1","0","0","0","0","0","32804","32826","1000","1","0","0","0","1500","0","0","1"
"7021","Opening commemorative event box (issued every 60 minutes)","treasure_box","normal","gold","0","4054","8074","0","1","0","0","0","0","0","0","0","0","1","1","0","3","1000","0","0","1"
"7022","Four Nose Totem","other","normal","vegetation","1","1039","729","14981","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"7023","Bag of gold coins","treasure_box","normal","leather","1","4936","10009","15022","1","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"7024","Raise Hyormak","scroll","normal","paper","0","5169","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"7241","Dragon Topaz","other","normal","gemstone","1","5918","5535","14825","1","0","0","0","0","0","0","0","0","1","1","0","4","500","0","0","1"
"7643","Blessed Integer","potion","normal","glass","50","5766","20","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"8000","Jindeth Knight Transformation Scroll","other","normal","paper","630","3847","22","0","1","0","0","0","75","0","0","0","0","1","0","0","0","0","0","0","1"
"8001","Lance Master Transformation Scroll","other","normal","paper","630","3847","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"8002","Kuwata Death Knight Transformation Scroll","other","normal","paper","630","3847","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"8003","Ranker Transformation Scroll","other","normal","paper","630","3847","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"8023","Enhanced Dragon Relic Bag (Strength)","treasure_box","normal","leather","0","4774","4246","17710","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"8024","Enhanced Dragon Relic Bag (Agility)","treasure_box","normal","leather","0","4772","4246","17712","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"8025","Enhanced Dragon Relic Bag (Knowledge)","treasure_box","normal","leather","0","4775","4246","17714","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"9989","Pain of the Abyss","scroll","normal","paper","1000","2821","13329","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","300","0","1"
"9990","Abyss Hallucination","scroll","normal","paper","1000","2828","13329","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","600","0","1"
"9991","Bullfrog Fishing Rod","other","fishing_rod","iron","14000","7174","6364","0","0","100","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"9992","bullfrog","treasure_box","normal","animalmatter","0","7176","6168","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"9993","Broken fishing rod","other","normal","iron","0","7173","6364","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"9994","A gift of gratitude at the ferry terminal","treasure_box","normal","wood","0","2159","5535","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"9995","Thank you candy at the ferry","food","normal","vegetation","0","3342","22","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"30004","Sealed +7 Mana Baselard","treasure_box","normal","mithril","0","2913","6736","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30005","Sealed +7 Raging Wind","treasure_box","normal","iron","0","2909","6734","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30006","Sealed +7 Destruction","treasure_box","normal","iron","0","2917","6738","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30007","Sealed +7 Angel Staff","treasure_box","normal","wood","0","2915","6737","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30008","Sealed +7 Freezing Lancer","treasure_box","normal","iron","0","2919","6739","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30009","Sealed +7 Lightning Edge","treasure_box","normal","iron","0","2911","6735","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30010","Sealed +7 Angel Slayer","treasure_box","normal","oriharukon","0","2005","5055","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30011","Sealed +8 Mana Baselard","treasure_box","normal","mithril","0","2913","6736","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30012","Sealed +8 Raging Wind","treasure_box","normal","iron","0","2909","6734","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30013","Sealed +8 Destruction","treasure_box","normal","iron","0","2917","6738","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30014","Sealed +8 Angel Staff","treasure_box","normal","wood","0","2915","6737","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30015","Sealed +8 Freezing Lancer","treasure_box","normal","iron","0","2919","6739","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30016","Sealed +8 Lightning Edge","treasure_box","normal","iron","0","2911","6735","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30017","Sealed +8 Angel Slayer","treasure_box","normal","oriharukon","0","2005","5055","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30018","Sealed +7 Destruction Claw","treasure_box","normal","platinum","0","3178","22","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30019","Sealed +7 Dual Blade of Destruction","treasure_box","normal","platinum","0","3172","22","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30020","Sealed +8 Destruction Claw","treasure_box","normal","platinum","0","3178","22","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30021","Sealed +8 Dual Blade of Destruction","treasure_box","normal","platinum","0","3172","22","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1000","0","0","1"
"30022","Magic Doll: Bullleg","other","normal","wood","1000","5009","6174","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30023","Magic Doll: Ledegu","other","normal","wood","1000","5033","6174","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30024","Magic Doll: Elreg","other","normal","wood","1000","5045","6174","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30025","Magic Doll: Greg","other","normal","wood","1000","5021","6174","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30026","Pixie's Magic Doll Box","treasure_box","normal","gemstone","1000","3913","8074","0","0","1","0","0","0","0","0","0","0","1","1","0","3","1000","1800","0","1"
"30027","Trainee Armor Enhancement Scroll","scroll","zel","paper","1","928","22","0","1","0","0","0","0","60","0","0","0","1","1","0","0","0","0","0","1"
"30028","Trainee's Weapon Enhancement Scroll","scroll","dai","paper","1","929","22","0","1","0","0","0","0","60","0","0","0","1","1","0","0","0","0","0","1"
"30029","Monster Claws","other","normal","bone","0","139","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30030","Monster Teeth","other","normal","bone","0","926","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30031","Rusty Helm","other","normal","iron","0","55","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30032","Rusty Glove","other","normal","leather","0","2053","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30033","Rusty High Boots","other","normal","leather","0","703","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30034","Teacher's gift bag","other","normal","none","10","957","22","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30035","Teacher's gift bag","treasure_box","normal","none","10","957","22","0","0","0","0","0","0","0","0","0","0","1","1","0","3","1000","0","0","1"
"30036","Teacher's gift bag","treasure_box","normal","none","10","957","22","0","0","0","0","0","0","0","0","0","0","1","1","0","3","1000","0","0","1"
"30037","Teacher's gift bag","other","normal","none","10","957","22","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30038","Teacher's gift bag","treasure_box","normal","none","10","957","22","0","0","0","0","0","0","0","0","0","0","1","1","0","3","1000","0","0","1"
"30039","Teacher's gift bag","treasure_box","normal","none","10","957","22","0","0","0","0","0","0","0","0","0","0","1","1","0","3","1000","0","0","1"
"30040","Teacher's gift bag","other","normal","gold","10","1218","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30041","Proof of Defeat","other","normal","steel","0","1047","2876","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30042","Variant Dragon Bone","other","normal","bone","0","963","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
"30043","Extermination Squad Member's Bag","treasure_box","normal","leather","0","1417","3494","0","0","7","0","0","0","0","0","0","0","1","1","0","3","1000","86400","0","1"
"30044","Glowing ball","other","normal","glass","0","938","22","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1"
