"area","note","locx","locy","mapid"
"1","話せる島1階","32582","32932","0"
"2","話せる島2階","32665","32790","2"
"5","Talking Island Ship to Aden Mainland","32631","32983","0"
"6","Aden Mainland Ship to Talking Island","32543","32728","4"
"15","ケント耐性","33065","32775","4"
"30","用のダンジョン1階","33443","32824","4"
"31","用のダンジョン2階","33443","32824","4"
"32","用のダンジョン3階","33443","32824","4"
"33","用のダンジョン4階","33443","32824","4"
"34","刑務所","32736","32799","34"
"35","用のダンジョン5階","33443","32824","4"
"36","用のダンジョン6階","33443","32824","4"
"37","バーモス巣","33443","32824","4"
"39","刑務所","32736","32799","39"
"52","ギラン耐性","33441","32800","4"
"53","ギランダンジョン1階","33439","32817","4"
"54","ギランダンジョン2階","33419","32810","4"
"55","ギランダンジョン3階","33440","32809","4"
"56","ギランダンジョン4階","33426","32823","4"
"75","象牙の塔：1系","34047","32283","4"
"76","象牙の塔：2系","34047","32283","4"
"77","象牙の塔：3系","34047","32283","4"
"78","象牙の塔：4系","34047","32283","4"
"79","象牙の塔：5系","34047","32283","4"
"80","象牙の塔：6系","34047","32283","4"
"81","象牙の塔：7系","34047","32283","4"
"82","象牙の塔：8系","34047","32283","4"
"83","Aden Mainland Ship to Forgotten Island","33426","33499","4"
"84","Forgotten Island Ship to Aden Mainland","32936","33057","70"
"88","Giran Colosseum","33442","32797","0"
"91","Talking island Colosseum","32580","32931","4"
"92","Gludio Colosseum","32612","32734","0"
"95","Silver knight Colosseum","33080","33392","4"
"98","Welldone Colosseum","33705","32504","4"
"99","GMルーム","33453","32800","4"
"101","傲慢の塔1F","32735","32798","101"
"102","傲慢の塔2F","32735","32798","101"
"103","傲慢の塔3F","32735","32798","101"
"104","傲慢の塔4F","32735","32798","101"
"105","傲慢の塔5F","32735","32798","101"
"106","傲慢の塔6F","32735","32798","101"
"107","傲慢の塔7F","32735","32798","101"
"108","傲慢の塔8F","32735","32798","101"
"109","傲慢の塔9F","32735","32798","101"
"110","傲慢の塔10F","32735","32798","101"
"111","傲慢の塔11F","32735","32798","101"
"112","傲慢の塔12F","32781","32816","101"
"113","傲慢の塔13F","32781","32816","101"
"114","傲慢の塔14F","32781","32816","101"
"115","傲慢の塔15F","32781","32816","101"
"116","傲慢の塔16F","32781","32816","101"
"117","傲慢の塔17F","32781","32816","101"
"118","傲慢の塔18F","32781","32816","101"
"119","傲慢の塔19F","32781","32816","101"
"120","傲慢の塔20F","32781","32816","101"
"121","傲慢の塔21F","32781","32816","101"
"122","傲慢の塔22F","32781","32816","101"
"123","傲慢の塔23F","32781","32816","101"
"124","傲慢の塔24F","32781","32816","101"
"125","傲慢の塔25F","32781","32816","101"
"126","傲慢の塔26F","32781","32816","101"
"127","傲慢の塔27F","32781","32816","101"
"128","傲慢の塔28F","32781","32816","101"
"129","傲慢の塔29F","32781","32816","101"
"130","傲慢の塔30F","32781","32816","101"
"131","傲慢の塔31F","32781","32816","101"
"132","傲慢の塔32F","32781","32816","101"
"133","傲慢の塔33F","32781","32816","101"
"134","傲慢の塔34F","32781","32816","101"
"135","傲慢の塔35F","32781","32816","101"
"136","傲慢の塔36F","32781","32816","101"
"137","傲慢の塔37F","32781","32816","101"
"138","傲慢の塔38F","32781","32816","101"
"139","傲慢の塔39F","32781","32816","101"
"140","傲慢の塔40F","32781","32816","101"
"141","傲慢の塔41F","32781","32816","101"
"142","傲慢の塔42F","32781","32816","101"
"143","傲慢の塔43F","32781","32816","101"
"144","傲慢の塔44F","32781","32816","101"
"145","傲慢の塔45F","32781","32816","101"
"146","傲慢の塔46F","32781","32816","101"
"147","傲慢の塔47F","32781","32816","101"
"148","傲慢の塔48F","32781","32816","101"
"149","傲慢の塔49F","32781","32816","101"
"150","傲慢の塔50F","32781","32816","101"
"151","傲慢の塔51F","32781","32816","101"
"152","傲慢の塔52F","32781","32816","101"
"153","傲慢の塔53F","32781","32816","101"
"154","傲慢の塔54F","32781","32816","101"
"155","傲慢の塔55F","32781","32816","101"
"156","傲慢の塔56F","32781","32816","101"
"157","傲慢の塔57F","32781","32816","101"
"158","傲慢の塔58F","32781","32816","101"
"159","傲慢の塔59F","32781","32816","101"
"160","傲慢の塔60F","32781","32816","101"
"161","傲慢の塔61F","32781","32816","101"
"162","傲慢の塔62F","32781","32816","101"
"163","傲慢の塔63F","32781","32816","101"
"164","傲慢の塔64F","32781","32816","101"
"165","傲慢の塔65F","32781","32816","101"
"166","傲慢の塔66F","32781","32816","101"
"167","傲慢の塔67F","32781","32816","101"
"168","傲慢の塔68F","32781","32816","101"
"169","傲慢の塔69F","32781","32816","101"
"170","傲慢の塔70F","32781","32816","101"
"171","傲慢の塔71F","32781","32816","101"
"172","傲慢の塔72F","32781","32816","101"
"173","傲慢の塔73F","32781","32816","101"
"174","傲慢の塔74F","32781","32816","101"
"175","傲慢の塔75F","32781","32816","101"
"176","傲慢の塔76F","32781","32816","101"
"177","傲慢の塔77F","32781","32816","101"
"178","傲慢の塔78F","32781","32816","101"
"179","傲慢の塔79F","32781","32816","101"
"180","傲慢の塔80F","32781","32816","101"
"181","傲慢の塔81F","32781","32816","101"
"182","傲慢の塔82F","32781","32816","101"
"183","傲慢の塔83F","32781","32816","101"
"184","傲慢の塔84F","32781","32816","101"
"185","傲慢の塔85F","32781","32816","101"
"186","傲慢の塔86F","32781","32816","101"
"187","傲慢の塔87F","32781","32816","101"
"188","傲慢の塔88F","32781","32816","101"
"189","傲慢の塔89F","32781","32816","101"
"190","傲慢の塔90F","32781","32816","101"
"191","傲慢の塔91F","32781","32816","101"
"192","傲慢の塔92F","32781","32816","101"
"193","傲慢の塔93F","32781","32816","101"
"194","傲慢の塔94F","32781","32816","101"
"195","傲慢の塔95F","32781","32816","101"
"196","傲慢の塔96F","32781","32816","101"
"197","傲慢の塔97F","32781","32816","101"
"198","傲慢の塔98F","32781","32816","101"
"199","傲慢の塔99F","32781","32816","101"
"200","傲慢の塔100F","32781","32816","101"
"240","ケントダンジョン","33064","32775","4"
"248","ギラン城1階","32736","32802","52"
"249","ギラン城の2階","32736","32802","52"
"250","ギラン城3階","32736","32802","52"
"251","ギラン城4階","32736","32802","52"
"257","アデン城1階","32895","32535","300"
"258","アデン城の2階","32895","32535","300"
"259","アデン城3階","32895","32535","300"
"303","夢幻の島","33972","32951","4"
"400","古代巨人の墓","32684","32799","450"
"446","Ship Pirate island to Hidden dock","32297","33087","440"
"447","Ship Hidden dock to Pirate island","32750","32874","445"
"451","ラスターバソン：集会場1F","32694","32796","450"
"452","ラスターバソン：突撃隊訓練場1F","32678","32803","450"
"453","ラスターバソン：魔獣軍王の執務室1F","32678","32803","450"
"454","ラスターバソン：獣ジョギョシル1F","32694","32796","450"
"455","ラスターバソン：獣訓練室1F","32694","32796","450"
