"item_id","name","chance"
"9","オリハルコン ダガー","-3"
"54","カーツ ソード","-15"
"58","デスナイト フレイムブレード","-15"
"59","ナイトバルドの剣（旧型）","-15"
"61","\aH真冥王の執行剣","-30"
"62","ジェネラル グレートソード","-5"
"63","イビル ソード","-15"
"64","グレートソード","-8"
"76","ロンドゥ デュアルブレード","-15"
"81","ブラインド デュアルブレード","-3"
"84","ダークネス デュアルブレード","-10"
"85","イビル デュアルブレード","-15"
"86","\aHレッドシャドウ デュアルブレード","-15"
"119","デーモン スタッフ","-10"
"121","アイスクイーン スタッフ","-15"
"123","ベレス スタッフ","-15"
"124","バフォメット スタッフ","-15"
"134","\aH修正結晶棒","-15"
"164","ダークネス クロウ","-10"
"165","イビル クロウ","-15"
"185","イビル クロスボウ","-15"
"189","ダークネス クロスボウ","-15"
"191","エンジェル スレイヤー","-15"
"205","ルナ ロング ボウ","-15"
"100009","オリハルコン ダガー","-3"
"100062","ジェネラル グレートソード","-10"
"100084","ダークネス デュアルブレード","-10"
"100164","ダークネス クロウ","-10"
"100189","ダークネス クロスボウ","-10"
"410003","霊験あらたかな破片","-10"
"410004","アウラキアの ギフトボックス","-10"
"412001","","-10"
"415010","","-15"
"415011","","-10"
"415012","","-10"
"415013","","-10"
"450008","","-10"
"450009","","-10"
"450010","","-10"
"450011","","-10"
"450012","","-10"
"450013","","-10"
"500007","","-5"
"500008","","-5"
"500009","","-5"
"5000042","","0"
"5000043","","-5"
"5000044","","0"
"5000045","","-5"
"5000046","","0"
