"mapid","locationname","startX","endX","startY","endY","monster_amount","drop_rate","underwater","markable","teleportable","escapable","resurrection","painwand","penalty","take_pets","recall_pets","usable_item","usable_skill"
"0","話せる島","32256","32767","32768","33279","1","1","0","1","1","1","1","1","1","1","1","1","1"
"1","話せる島ダンジョン1階","32576","32831","32704","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"2","話せる島ダンジョン2階","32576","32895","32704","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"3","ギュンターの家","32576","32831","32704","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"4","本土","32512","34303","32064","33535","1","1","0","1","1","1","1","1","1","1","1","1","1"
"5","マルソム→本土倍","32704","32767","32768","32831","1","1","0","0","0","1","1","0","1","1","1","1","1"
"6","本土→マルソム行船","32704","32767","32768","32831","1","1","0","0","0","1","1","0","1","1","1","1","1"
"7","メインランドのダンジョン1階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"8","メインランドのダンジョン2階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"9","メインランドのダンジョン3階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"10","メインランドのダンジョン4階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"11","メインランドのダンジョン5階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"12","メインランドのダンジョン6階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"13","メインランドのダンジョン7階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"14","地下通路","32512","33023","32768","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"15","ケント耐性","32704","32767","32768","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"16","ハーディンの研究室","32704","32767","32768","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"17","フランネル派洞窟","32704","32767","32768","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"18","デュペルゲノンダンジョン","32704","32767","32768","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"19","エルフの森ダンジョン1階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"20","エルフの森ダンジョン2階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"21","エルフの森ダンジョン3階","32704","32831","32704","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"22","がロッド試験ダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"23","ウィンダウッド城のダンジョン1階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"24","ウィンダウッド城のダンジョン2階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"25","修練ケイブ1階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"26","修練ケイブ2階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"27","修練ケイブ3階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"28","修練ケイブ4階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"29","ウィンダウッド耐性","32704","32767","32768","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"30","ドラゴンバレーダンジョン1階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"31","ドラゴンバレーダンジョン2階","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"32","ドラゴンバレーダンジョン3階","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"33","ドラゴンバレーダンジョン4階","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"34","刑務所","32704","32831","32704","32831","1","1","0","0","0","0","1","0","0","0","0","0","0"
"35","ドラゴンバレーのダンジョン5階","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"36","ドラゴンバレーダンジョン6階","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"37","アンタラスの巣","32640","32767","32768","32895","1","1","0","0","0","0","1","1","1","1","1","1","1"
"38","殿堂入り","32704","32767","32768","32831","1","1","0","0","0","0","1","0","1","1","1","1","1"
"39","刑務所","32704","32767","32768","32831","1","1","0","0","0","0","1","0","0","0","0","0","0"
"40","殿堂入り","32704","32767","32768","32831","1","1","0","0","0","0","1","0","1","1","1","1","1"
"41","殿堂入り","32704","32767","32768","32831","1","1","0","0","0","0","1","0","1","1","1","1","1"
"42","名前なし(アデン狩り場のようなところ)","32512","32831","32704","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"43","アリダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"44","アリダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"45","アリダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"46","アリダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"47","アリダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"48","アリダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"49","アリダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"50","アリダンジョン","32704","32831","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"51","女王アリダンジョン","32640","32831","32704","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"52","ギラン耐性","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"53","ギランダンジョン1階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"54","ギランダンジョン2階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"55","ギランダンジョン3階","32640","32831","32704","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"56","ギランダンジョン4階","32640","32895","32640","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"57","歌う島","32576","33023","32512","32959","1","1","0","0","1","1","1","0","1","0","0","1","1"
