"item_id","name"
"8222","Enhanced Dragon Relic (Strength)"
"8223","Enhanced Dragon Relic (Agility)"
"8224","Enhanced Dragon Relic (Knowledge)"
"8825","Sacred Bow Ring"
"8826","Sacred Demon King's Ring"
"8827","Ring of Sacred Spirit"
"8828","Sacred Belt of Protection"
"8829","Sacred Ring of Strength"
"8830","Divine Ring of Dexterity"
"8831","Ring of Sacred Knowledge"
"9500","GM Transformation Ring"
"11284","Transformation Control Ring"
"20001","Leather Cap"
"20002","Leather Helmet"
"20003","Iron Helm"
"20004","Shadow Mask"
"20005","Night Food"
"20006","Night Visor"
"20007","Dowavish Iron Helm"
"20008","Minor Windhelm"
"20009","Demon Helm"
"20010","Death Knight Helmet"
"20011","Magic Helm"
"20012","Wizard Hat"
"20013","Magic Helm: Swiftness"
"20014","Magic Helm: Healing"
"20015","Magic Helm: Strength"
"20016","Mambo Hat"
"20017","\aF Mommy Road Crown"
"20018","Melchior's Hat"
"20019","Crown"
"20020","General Helm"
"20021","Helm of Agility"
"20022","Barranca Helm"
"20023","Windhelm"
"20024","Anti-King's Helm"
"20025","Balthazar's Hat"
"20026","Night Vision"
"20027","Red Night Hood"
"20028","Initiate's Helm"
"20029","Sema's Hat"
"20030","Bishop's Circlet"
"20031","Yahi Helmet"
"20032","dark headband"
"20033","Breath of Elm"
"20034","Orcish Helm"
"20035","Elven Leather Helmet"
"20036","Magic Helmet: Night Vision"
"20037","Mask of Truth"
"20038","Studded leather cap"
"20039","Helm of Stamina"
"20040","Caspar's Hat"
"20041","Kurt Helm"
"20042","Kerenis' Circlet"
"20043","Helm"
"20044","Pirate Food"
"20045","Bone Helmet"
"20046","Pumpkin Helmet"
"20047","Pumpkin Mask"
"20048","Helm of Chaos"
"20049","Ant Queen Golden Wing"
"20050","Ant Queen Silver Wing"
"20051","The majesty of the monarch"
"20052","Dowavish Cloak"
"20053","Wolfskin Cloak"
"20054","Earth Cloak"
"20055","Mana Cloak"
"20056","Magic Cloak"
"20057","Underworld King's Cloak"
"20058","General Mantle"
"20059","Water Cloak"
"20060","Pirate Cloak"
"20061","Wind Cloak"
"20062","Balrog Bloody Cloak"
"20063","Protection Cloak"
"20064","Red Knight Cloak"
"20065","Red Cloak"
"20066","Black Tiger Leather Cloak"
"20067","Bishop's Cloak"
"20068","Aden Knights' Cloak"
"20069","Yahi Cloak"
"20070","Dark Cloak"
"20071","Fire Cloak"
"20072","Orcish Cloak"
"20073","Elven Cloak"
"20074","Divine Cloak of Protection"
"20075","Cloak of Death"
"20076","Cloak of Corruption"
"20077","Invisibility Cloak"
"20078","Cloak of Chaos"
"20079","\aF Vampire Cloak"
"20080","Displacement Cloak"
"20081","Oilskin Cloak"
"20082","Initiate T-Shirt"
"20083","Yahi's shirt"
"20084","Elven T-shirt"
"20085","T-shirt"
