"monsternumber","monstername","monster_id","locx","locy","mapid","type","marterial","note"
"1","バフォメット","91226","32581","32933","0","0","140100","マルソム村クエスト"
"2","グリムリーパー","45673","32581","32933","0","0","140100","マルソム村クエスト"
"3","魔界のイフリート","900123","32581","32933","0","0","140100","マルソム村クエスト"
"4","魔界のグレートミノタウルス","900130","32581","32933","0","0","140100","マルソム村クエスト"
"5","冷え性の雪だるま","900206","34072","32271","4","0","140100","水晶の洞窟"
"6","冷え性のライカンスロープ","900190","34072","32271","4","0","140100","水晶の洞窟"
"7","冷え性のオウルベアー","900205","34072","32271","4","0","140100","水晶の洞窟"
"8","冷え性の$1784","900192","34072","32271","4","0","140100","水晶の洞窟"
"9","冷え性のアイアンゴーレム","900199","34072","32271","4","0","140100","水晶の洞窟"
"10","酷寒のエティ","900200","34072","32271","4","0","140100","水晶の洞窟"
"11","冷え性のアイスゴーレム","900197","34072","32271","4","0","140100","水晶の洞窟"
"12","冷え性のアイスマン","900193","34072","32271","4","0","140100","水晶の洞窟"
"13","アイスクイーンの近衛兵(ウィンドウ)","900195","34072","32271","4","0","140100","水晶の洞窟"
"14","アイス デーモン","81201","34072","32271","4","0","140100","水晶の洞窟"
"15","冷え性のマンモン","900196","34072","32271","4","0","140100","水晶の洞窟"
"16","冷え性のスライム","900203","34072","32271","4","0","140100","水晶の洞窟"
"17","アイスクイーンの近衛兵(弓)","900194","34072","32271","4","0","140100","水晶の洞窟"
"18","アイスクイーン","45609","34072","32271","4","0","140100","水晶の洞窟"
"19","九尾の狐","7200020","33965","32959","4","0","140100","アデンジプシーの村"
"20","水の大精霊","45643","33965","32959","4","0","140100","アデンジプシーの村"
"21","ウィル オー ウィスプ","45559","33965","32959","4","0","140100","アデンジプシーの村"
"22","トルナール","47906","33965","32959","4","0","140100","アデンジプシーの村"
"23","ニクス","47904","33965","32959","4","0","140100","アデンジプシーの村"
"24","ニスン","47905","33965","32959","4","0","140100","アデンジプシーの村"
"25","風の大精霊","45644","33965","32959","4","0","140100","アデンジプシーの村"
"26","ウィル オー ウィスプ","45558","33965","32959","4","0","140100","アデンジプシーの村"
"27","キラービー","45554","33965","32959","4","0","140100","アデンジプシーの村"
"28","シフェリット","47900","33965","32959","4","0","140100","アデンジプシーの村"
"29","ボール ライトニング","45549","33965","32959","4","0","140100","アデンジプシーの村"
"30","地の大精霊","45642","33965","32959","4","0","140100","アデンジプシーの村"
"31","ウィル オー ウィスプ","45561","33965","32959","4","0","140100","アデンジプシーの村"
"32","ゲンム","47901","33965","32959","4","0","140100","アデンジプシーの村"
"33","ハヌーン","47902","33965","32959","4","0","140100","アデンジプシーの村"
"34","ファングス","45551","33965","32959","4","0","140100","アデンジプシーの村"
"35","マンボ ラビット","45534","33965","32959","4","0","140100","アデンジプシーの村"
"36","火の大精霊","45645","33965","32959","4","0","140100","アデンジプシーの村"
"37","ウィル オー ウィスプ","45560","33965","32959","4","0","140100","アデンジプシーの村"
"38","カサ","47908","33965","32959","4","0","140100","アデンジプシーの村"
"39","カシャーン","47909","33965","32959","4","0","140100","アデンジプシーの村"
"40","グニス","47907","33965","32959","4","0","140100","アデンジプシーの村"
"41","ファイアー","45424","0","0","0","0",,"精霊の墓"
"42","受領","45419","0","0","0","0",,"精霊の墓"
"43","風鈴","45418","0","0","0","0",,"精霊の墓"
"44","指令","45416","0","0","0","0",,"精霊の墓"
"45","ファイアー奴隷","45511","0","0","0","0",,"精霊の墓"
"46","受領奴隷","45500","0","0","0","0",,"精霊の墓"
"47","風鈴奴隷","45510","0","0","0","0",,"精霊の墓"
"48","指令奴隷","45508","0","0","0","0",,"精霊の墓"
"49","ファイアー主人","45594","0","0","0","0",,"精霊の墓"
"50","受領の所有者","45591","0","0","0","0",,"精霊の墓"
"51","風鈴の所有者","45593","0","0","0","0",,"精霊の墓"
"52","指令の所有者","45592","0","0","0","0",,"精霊の墓"
"53","マンボキング","45535","0","0","0","0",,"精霊の墓"
"54","マンボ ラビット","47903","0","0","0","0",,"精霊の墓"
"55","精霊のモニター","45646","0","0","0","0",,"精霊の墓"
"56","フェニックス","7210022","33604","32415","4","0","140100","火竜の聖域"
"57","イフリート","7210023","33604","32415","4","0","140100","火竜の聖域"
"58","ヴァラカス","7210021","33604","32415","4","0","140100","火竜の聖域"
"59","エンシェントガーディアン","707026","33431","33499","4","0","140100","忘れられた島"
"60","グレートミノタウルス","707022","33431","33499","4","0","140100","忘れられた島"
"61","ハーピークイーン","707023","33431","33499","4","0","140100","忘れられた島"
"62","コカトリスキング","707024","33431","33499","4","0","140100","忘れられた島"
"63","オーガキング","707025","33431","33499","4","0","140100","忘れられた島"
"64","ドレイクキング","707017","33431","33499","4","0","140100","忘れられた島"
"65","ラミア","707011","33431","33499","4","0","140100","忘れられた島"
"66","ラミア","707012","33431","33499","4","0","140100","忘れられた島"
"67","ガストロード","707027","33431","33499","4","0","140100","忘れられた島"
"68","キングバグベア","707014","33431","33499","4","0","140100","忘れられた島"
"69","ジャイアントクロコダイル","707013","33431","33499","4","0","140100","忘れられた島"
"70","ミノタウルスゴーレム","707031","33431","33499","4","0","140100","忘れられた島"
"71","ミノタウルスゴーレム","707032","33431","33499","4","0","140100","忘れられた島"
"72","ワニ","707004","33431","33499","4","0","140100","忘れられた島"
"73","ブルート","707015","33431","33499","4","0","140100","忘れられた島"
"74","インプ長老","707029","33431","33499","4","0","140100","忘れられた島"
"75","インプ","707028","33431","33499","4","0","140100","忘れられた島"
"76","ダークエルフ","707019","33431","33499","4","0","140100","忘れられた島"
"77","クロウルリンクロ","707033","33431","33499","4","0","140100","忘れられた島"
"78","ストーン ゴーレム","45126","33431","33499","4","0","140100","忘れられた島"
"79","狼","707005","33431","33499","4","0","140100","忘れられた島"
"80","ライカンスロープ","707006","33431","33499","4","0","140100","忘れられた島"
"81","カエル","707030","33431","33499","4","0","140100","忘れられた島"
"82","子供論","707001","33431","33499","4","0","140100","忘れられた島"
"83","ゴーレムガーディアン","707036","33431","33499","4","0","140100","忘れられた島"
"84","タイタンゴーレム","707037","33431","33499","4","0","140100","忘れられた島"
"85","サイクロプス","707016","33431","33499","4","0","140100","忘れられた島"
"86","ドッペルゲンガー","45807","33431","33499","4","0","140100","忘れられた島"
"87","バグベア","300047","33431","33499","4","0","140100","忘れられた島"
"88","ゴーレムガーディアン(ブルー)","707039","33431","33499","4","0","140100","忘れられた島"
"89","ゴーレムガーディアン","707035","33431","33499","4","0","140100","忘れられた島"
"90","ゴーレムガーディアン","707034","33431","33499","4","0","140100","忘れられた島"
"91","ゴーレムガーディアン","707036","33431","33499","4","0","140100","忘れられた島"
"92","ハーピー","707021","33431","33499","4","0","140100","忘れられた島"
"93","ミノタウルス","707009","33431","33499","4","0","140100","忘れられた島"
"94","ミノタウルス","707008","33431","33499","4","0","140100","忘れられた島"
