"npcid","normal_action","caotic_action","teleport_url","teleport_urla"
"6","tmege01","tmege01","",""
"7","anold1","anold1","",""
"8","jiller01","jiller01","",""
"9","naruto1","naruto1","",""
"205","tebegate2","tebegate2","",""
"5000","bs_01","bs_01","",""
"5001","bs_01","bs_01","",""
"5002","bs_01","bs_01","",""
"5003","bs_01","bs_01","",""
"5004","bs_01","bs_01","",""
"5005","bs_01","bs_01","",""
"5006","bs_01","bs_01","",""
"5007","bs_01","bs_01","",""
"5008","bs_01","bs_01","",""
"5009","bs_01","bs_01","",""
"5010","pbs_01","pbs_01","",""
"5011","bs_01","bs_01","",""
"5012","bs_01","bs_01","",""
"5013","burz1","burz1","",""
"5062","zigpride1","zigpride1","",""
"5063","zig1","zig1","",""
"5064","nuriel","nuriel","",""
"5065","lesa","lesa","",""
"5066","crafttable","crafttable","",""
"5067","trade-guide","trade-guide","",""
"5068","nuriel","nuriel","",""
"5070","Mobjtele","Mobjtele","",""
"5071","nuriel","nuriel","",""
"5072","pcsuprise","pcsuprise","",""
"5073","pctoy","pctoy","",""
"5078","icq_2","icq_2","",""
"5079","icq_1","icq_1","",""
"5086","icqwand1","icqwand1","",""
"5087","newsbin","newsbin","",""
"5088","8event3","8event3","",""
"5089","rostin1","rostin1","",""
"5090","nuriel","nuriell","",""
"5091","ellunatel","ellunatel","ellunatel2",""
"5092","elfin","elfin","",""
"5093","elli","elli","",""
"5104","sibilre","sibilre","",""
"5105","nuriel","nuriel","",""
"5111","veteran01","veteran01","",""
"5112","lind_sm","lind_sm","",""
"5125","canus1","canus1","",""
"5126","merisha","merisha","",""
"5128","zi4","zi4","",""
"5130","zi3","zi3","",""
"5131","exitkir1","exitkir1","",""
"5132","nuriel","nuriel","",""
"5155","wdguard6","wdguard6","wdguard6",""
"5156","balsim","balsim","",""
"5157","vola","vola1","",""
"5161","vjaya01","vjaya01","",""
"5162","slot7","slot7","",""
"5163","joinrk","joinrk","",""
"5164","bdp","bdp","",""
"5165","bdp1","bdp1","",""
"9271","doria","doria","doria3",""
"9272","nuriel","nuriel","",""
"9273","siriss","siriss","",""
"9274","tutorrw4","tutorrw4","",""
"9275","adminrw4","adminrw4","",""
"9291","siabeth","siabeth","",""
"9510","zig1","zig1","",""
"11887","fg_leong","fg_leong","",""
"45015","duck1","duck1","",""
"45154","mermaid","mermaid","",""
"46069","minicod1","minicod1","",""
"46070","minicod3","minicod3","",""
"46072","minicod2","minicod2","",""
"46074","minicod2","minicod2","",""
"46075","minicod3","minicod3","",""
"46076","minicod1","minicod1","",""
"46077","minicod2","minicod2","",""
"46078","minicod1","minicod1","",""
"46079","minicod2","minicod2","",""
"46080","minicod1","minicod1","",""
"46081","minicod2","minicod2","",""
"46092","minicod3","minicod3","",""
"46093","minicod3","minicod3","",""
"46094","minicod2","minicod2","",""
"46095","minicod2","minicod2","",""
"46096","minicod1","minicod1","",""
"50001","barnia1","barnia1","barnia4",""
"50002","sky4","sky4","sky1",""
"50003","illdrath1","illdrath1","illdrath",""
