"item_id","note","crystal_count"
"1","オーキッシュ ダガー","2"
"2","ダイス ダガー","2"
"21","オーキッシュ ソード","2"
"23","ブロード ソード","3"
"25","シルバー ソード","180"
"26","ドワヴィッシュ ソード","25"
"27","シミター","150"
"29","シルバー ロングソード","1300"
"31","ソード","300"
"32","グラディウス","250"
"37","ダマスカス ソード","500"
"41","刀","2000"
"52","ツーハンド ソード","1800"
"64","グレートソード","8000"
"69","ブロンズ デュアルブレード","80"
"91","オーキッシュ スピアー","5"
"93","トライデント","2"
"94","パルチザン","50"
"95","ランス","6"
"96","槍","7"
"98","グレイブ","15"
"102","ルチェルン ハンマー","1000"
"103","ハルバード","200"
"104","フォチャード","800"
"107","クリムゾン ランス","5000"
"125","ソーサリー スタッフ","900"
"126","マナ スタッフ","900"
"128","オーク スタッフ","30"
"129","メイジ スタッフ","375"
"132","ビショップ スタッフ","5000"
"136","アックス","2"
"137","アタム","1"
"138","クラブ","3"
"139","フレイル","4"
"140","メイス","9"
"142","シルバー アックス","800"
"143","バトル アックス","70"
"145","バーサーカー アックス","100"
"146","モーニングスター","350"
"148","グレート アックス","1200"
"149","ミノタウルス アックス","1200"
"151","デーモン アックス","20000"
"153","スチール クロウ","200"
"169","ハンターボウ","500"
"171","オーキッシュ ボウ","3"
"172","ボウ","5"
"187","ラスタバド クロスボウ","1000"
"20003","アイアン ヘルム ","2000"
"20006","ナイト バイザー ","500"
"20007","ドワヴィッシュ アイアン ヘルム ","60"
"20011","マジック ヘルム ","250"
"20013","魔法のヘルム：迅速 ","2200"
"20014","魔法のヘルム：治癒 ","1500"
"20015","魔法のヘルム：力 ","1800"
"20016","マンボ ハット ","10000"
"20020","ジェネラル ヘルム ","350"
"20023","ウィンドヘルム ","2200"
"20030","ビショップ サークレット ","350"
"20032","ダーク ヘッドバンド","1000"
"20034","オーキッシュ ヘルム ","15"
"20043","ヘルム ","20"
"20052","ドワヴィッシュ クローク ","10"
"20056","マジック クローク ","20"
"20058","ジェネラル マント ","500"
"20060","パイレーツ クローク ","80"
"20063","プロテクション クローク ","2000"
"20067","ビショップ クローク ","500"
"20070","ダーク マント","5000"
"20072","オーキッシュ クローク ","5"
"20089","レザー アーマー ","15"
"20091","アイアン プレート メイル ","5000"
"20096","リング メイル ","50"
"20101","バンデッド メイル ","2500"
"20110","マジック チェーン メイル ","800"
"20113","ジェネラル アーマー ","1500"
"20114","コットン ローブ ","100"
"20115","スプリント メイル ","2000"
"20122","スケイル メイル ","200"
"20124","ボーン アーマー ","200"
"20125","チェーン メイル ","600"
"20129","ビショップ ローブ ","1500"
"20132","ダーク ローブ","2000"
"20135","オーキッシュ リング メイル ","20"
"20136","オーキッシュ チェーン メイル ","80"
"20139","エルヴン ブレスト プレート ","100"
"20140","古代のレザー アーマー ","3700"
"20141","古代のローブ ","3700"
"20142","古代のスケイル メイル ","3700"
"20143","古代のプレート メイル ","3700"
"20147","スタデッド レザー アーマー ","30"
"20149","ブロンズ プレート メイル ","1600"
"20154","プレート メイル ","3700"
"20162","レザー グローブ ","800"
"20163","アイアン グローブ ","3000"
"20166","デスナイト グローブ ","30000"
"20168","ジェネラル グローブ ","2640"
"20172","ウォーター グローブ ","10000"
"20175","クリスタル グローブ ","800"
"20176","ビショップ グローブ ","2640"
"20177","アース グローブ ","10000"
"20181","ファイアー グローブ ","10000"
"20182","グローブ ","800"
"20188","パイレーツ グローブ ","800"
"20189","ウィンド グローブ ","10000"
"20194","アイアン ブーツ ","1500"
"20201","ジェネラル ブーツ ","500"
"20205","ブーツ ","200"
"20208","ビショップ ブーツ ","500"
"20210","ダーク ブーツ","5000"
"20213","ロウ ブーツ ","30"
"20217","パイレーツ ブーツ ","300"
"20220","アイアン シールド ","3000"
"20228","ジェネラル シールド ","3000"
"20229","リフレクション シールド ","2000"
"20231","タワー シールド ","700"
"20233","ビショップ ブック ","5600"
"20237","オーキッシュ シールド ","9"
"20239","スモール シールド ","6"
"20242","ラージ シールド ","150"
"20244","マイナー 魅力のアミュレット","500"
"20245","マイナー 機敏のアミュレット","500"
"20246","マイナー 腕力のアミュレット","500"
"20247","マイナー 知力のアミュレット","500"
"20248","マイナー 精神のアミュレット","500"
"20249","マイナー 体力のアミュレット","500"
"20254","魅力のアミュレット ","1000"
"20256","機敏のアミュレット ","1000"
"20260","アイリスのアミュレット ","3000"
"20263","オーク ウォリアーのアミュレット ","6500"
"20264","腕力のアミュレット ","1000"
"20266","知力のアミュレット ","1000"
