"id","name","title","class","sex","clanid","clanname","ban","connect","step","lawful","map"
"1","藤井 三郎","","12490","0","200000008","ユーモア","0","1","0","0","4"
"2","石田 ヒロ","","12490","0","200000008","ユーモア","0","1","0","0","4"
"3","浜野 丈史","","61","0","200000008","ユーモア","0","1","0","0","4"
"4","阿部 ひろみ","","48","1","200000008","ユーモア","0","1","0","0","4"
"5","榊原 だん吉","","12490","0","200000008","ユーモア","0","1","0","0","4"
"6","草村 那奈","","12490","1","200000008","ユーモア","0","1","0","0","4"
"7","相馬 小百合","","37","1","200000008","ユーモア","0","1","0","0","4"
"8","木原 鉄洋","","138","0","200000008","ユーモア","0","1","0","0","4"
"9","永井 サダヲ","","12490","0","200000008","ユーモア","0","1","0","0","4"
"10","飯野 優","","12490","0","200000008","ユーモア","0","1","0","0","4"
"11","長井 さやか","","12490","1","200000008","ユーモア","0","1","0","0","4"
"12","森谷 了","","6658","0","200000008","ユーモア","0","1","0","0","4"
"13","神野 礼子","","6661","1","200000008","ユーモア","0","1","0","0","4"
"14","青山 獅童","","61","0","200000008","ユーモア","0","1","0","0","4"
"15","内村 敏也","","61","0","200000008","ユーモア","0","1","0","0","4"
"16","南 陽介","","61","0","200000008","ユーモア","0","1","0","0","4"
"17","大貫 哲平","","61","0","200000008","ユーモア","0","1","0","0","4"
"18","稲垣 聡","","61","0","200000008","ユーモア","0","1","0","0","4"
"19","内田 丈史","","61","0","200000008","ユーモア","0","1","0","0","4"
"20","阿井 薫","","48","1","200000008","ユーモア","0","1","0","0","4"
"21","栗山 真一","","138","0","200000008","ユーモア","0","1","0","0","4"
"22","西原 瞳","","37","1","200000008","ユーモア","0","1","0","0","4"
"23","川辺 恵子","","37","1","200000008","ユーモア","0","1","0","0","4"
"24","福田 一輝","","138","0","200000008","ユーモア","0","1","0","0","4"
"25","勝地 佑","","2786","0","200000008","ユーモア","0","1","0","0","4"
"26","石崎 きみまろ","","2786","0","200000008","ユーモア","0","1","0","0","4"
"27","黒沢 れいな","","2796","1","200000008","ユーモア","0","1","0","0","4"
