"skill_id","name","skill_level","skill_number","mpConsume","hpConsume","itemConsumeId","itemConsumeCount","reuseDelay","buffDuration","target","target_to","damage_value","damage_dice","damage_dice_count","probability_value","probability_dice","limit","attr","type","lawful","ranged","area","through","id","nameid","action_id","action_id2","action_id3","castgfx","castgfx2","castgfx3","sysmsgID_happen","sysmsgID_stop","sysmsgID_fail"
"1","heal","1","0","4","0","0","0","10","0","buff","3","2","4","0","0","0","0","4","16","0","-1","0","0","1","$1,436 ","19","0","0","11722","0","0","77","0","280"
"2","Light","1","1","4","0","0","0","10","3600","none","0","0","0","0","0","0","0","16","2","0","0","0","0","2","$1,437 ","19","0","0","2510","0","0","0","0","0"
"3","shield","1","2","8","0","0","0","10","1800","none","0","0","0","0","0","0","0","0","2","0","0","0","0","4","$1,438 ","19","0","0","221","0","0","0","0","0"
"4","Energy Bolt","1","3","3","0","0","0","10","0","attack","3","8","10","1","0","0","0","16","64","0","10","0","0","8","$1,439 ","18","0","0","167","0","0","0","0","0"
"5","Teleport","1","4","10","0","0","0","10","0","none","0","0","0","0","0","0","0","0","128","0","0","0","0","16","$1,440 ","19","0","0","169","0","0","0","0","0"
"6","Ice Dagger","1","5","4","0","0","0","10","0","attack","3","10","10","1","0","0","0","4","64","0","10","0","0","32","$1,966 ","18","0","0","1797","0","0","0","0","0"
"7","Wind Cutter","1","6","4","0","0","0","10","0","attack","3","10","10","1","0","0","0","8","64","0","10","0","0","64","$1,967 ","18","0","0","1799","0","0","0","0","0"
"8","Holy Weapon","1","7","10","0","0","0","0","1200","buff","3","0","0","0","0","0","0","0","2","0","-1","0","0","128","$1,977 ","19","0","0","2165","0","0","0","0","0"
"9","Cure Poison","2","0","15","0","0","0","0","0","buff","3","0","0","0","0","0","0","0","2","0","-1","0","0","1","$1,441 ","19","0","0","871","0","0","211","0","280"
"10","Chill Touch","2","1","8","0","0","0","0","0","attack","3","10","10","2","0","0","0","4","64","-2","2","0","0","2","$1,442 ","18","0","0","11767","0","0","0","0","0"
"11","Cars Poison","2","2","10","0","40318","1","0","30","buff","3","0","0","0","50","12","0","4","4","-5","1","0","0","4","$1,443 ","19","0","0","10705","0","0","0","0","280"
"12","Enchanted Weapon","2","3","20","0","0","0","0","1800","none","0","0","0","0","0","0","0","2","2","0","0","0","0","8","$1,444 ","19","0","0","747","0","0","0","0","0"
"13","Detection","2","4","15","0","0","0","500","0","none","3","0","0","0","0","0","0","0","2","0","0","-1","0","16","$1,445 ","19","0","0","749","0","0","0","0","0"
"14","Decrease Weight","2","5","10","50","0","0","0","1800","none","0","0","0","0","0","0","0","0","2","0","0","0","0","32","$1,978 ","19","0","0","2170","0","0","0","0","0"
"15","Starrack","2","6","6","0","0","0","0","0","attack","3","10","5","2","0","0","0","2","64","0","10","0","0","64","$1,968 ","18","0","0","1583","0","0","0","0","0"
"16","Fire Arrow","2","7","6","0","0","0","0","0","attack","3","10","10","2","0","0","0","1","64","0","10","0","0","128","$1,969 ","18","0","0","1801","0","0","0","0","0"
"17","Lightning","3","0","20","0","0","0","1000","0","attack","3","20","10","4","0","0","0","8","64","0","6","2","0","1","$1,446 ","18","0","0","170","0","0","0","0","0"
"18","Frozen Cloud","3","1","20","0","0","0","0","0","attack","2","0","0","0","10","10","0","1","4","0","10","0","0","2","$1,970 ","19","0","0","754","0","0","0","0","280"
"19","Extra Heel","3","2","15","0","0","0","0","0","buff","3","4","8","0","0","0","0","4","16","0","-1","0","0","4","$1,448 ","19","0","0","11723","0","0","77","0","280"
"20","Cars Blinds","3","3","20","0","0","0","500","16","buff","3","0","0","0","15","11","0","0","4","-10","1","0","0","8","$1,449 ","19","0","0","10703","0","0","0","0","280"
"21","Blessed Armor","3","4","20","0","0","0","0","1800","none","0","0","0","0","0","0","0","0","2","0","0","0","0","16","$1,450 ","19","0","0","748","0","0","0","0","0"
"22","Turn Undead","3","5","20","0","0","0","300","0","attack","3","4","8","3","0","0","0","4","64","0","6","3","0","32","$1,447 ","18","0","0","6012","0","0","0","0","0"
"23","Weak Elemental","3","6","8","0","0","0","0","0","buff","2","0","0","0","0","0","0","0","128","0","-1","0","0","64","$1,979 ","19","0","0","2510","0","0","0","0","280"
"24","none","3","7","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","128","","19","0","0","189","0","0","0","0","0"
"25","Fireball","4","0","20","0","0","0","1000","0","attack","3","4","8","3","0","0","0","2","64","0","6","3","0","1","$1,451 ","18","0","0","171","0","0","0","0","0"
"26","Physical Enchantment: DEX","4","1","50","0","0","0","0","1200","buff","4","0","0","0","0","0","0","8","2","0","-1","0","0","2","$1,452 ","19","0","0","750","0","0","294","0","280"
"27","Weapon Break","4","2","32","0","40318","1","3000","0","buff","3","0","0","0","32","10","0","2","4","-10","4","0","0","4","$1,453 ","19","0","0","172","0","0","0","0","280"
"28","Vampiric Touch","4","3","12","0","0","0","1000","0","attack","3","10","10","3","0","0","0","4","64","-5","3","0","0","8","$1,454 ","18","0","0","11769","0","0","0","0","0"
"29","Slow","4","4","20","0","40318","1","1000","64","buff","3","0","0","0","60","16","0","8","1","0","-1","0","0","16","$1,455 ","19","0","0","752","0","0","277","0","280"
"30","Earth Jail","4","5","24","0","0","0","400","0","attack","3","5","5","3","0","0","0","1","64","0","6","2","0","32","$1,971 ","18","0","0","1805","0","0","0","0","0"
"31","Counter Magic","4","6","20","0","40318","1","0","16","none","0","0","0","0","0","0","0","0","2","0","0","0","0","64","$1,980 ","19","0","0","10701","10702","0","0","0","0"
"32","Meditation","4","7","5","30","0","0","0","640","none","0","0","0","0","0","0","0","0","2","0","0","0","0","128","$1,981 ","19","0","0","2173","0","0","0","0","0"
"33","Cars Paralyze","5","0","80","0","40318","2","5000","32","buff","3","0","0","0","18","8","0","1","4","-500","1","0","0","1","$1,456 ","19","0","0","10704","0","0","0","0","280"
"34","Call Lightning","5","1","18","0","0","0","400","0","attack","3","16","8","3","0","0","0","8","64","0","10","0","0","2","$1,457 ","18","0","0","11736","0","0","0","0","0"
"35","Greater Heal","5","2","20","0","0","0","200","0","buff","3","10","8","0","0","0","0","4","16","0","-1","0","0","4","$1,458 ","19","0","0","11724","0","0","77","0","280"
"36","Taming Monsters","5","3","30","20","40318","1","0","0","buff","2","0","0","0","0","6","0","0","1","0","-1","0","0","8","$1,459 ","19","0","0","228","0","0","0","324","280"
"37","Remove Cars","5","4","20","0","0","0","0","0","buff","3","0","0","0","0","0","0","8","2","0","-1","0","0","16","$1,460 ","19","0","0","227","0","0","155","0","280"
"38","Cone of Cold","5","5","18","0","0","0","400","0","attack","3","20","4","3","0","0","0","4","64","0","10","0","0","32","$1,972 ","18","0","0","11738","0","0","0","0","0"
"39","Mana Drain","5","6","1","50","0","0","400","0","buff","3","0","0","0","8","12","0","0","1","0","4","0","0","64","$1,982 ","19","0","0","2172","0","0","690","0","280"
"40","Darkness","5","7","15","0","40318","1","0","32","buff","3","0","0","0","30","11","0","0","1","-5","3","0","0","128","$1,983 ","19","0","0","2175","0","0","0","0","280"
"41","Create Zombie","6","0","5","80","40318","1","0","0","buff","2","0","0","0","0","0","0","1","32","-10","-1","0","0","1","$1,461 ","19","0","0","226","0","0","0","0","280"
"42","Physical Enchantment: STR","6","1","50","0","0","0","0","1200","buff","4","0","0","0","0","0","0","2","2","0","-1","0","0","2","$1,462 ","19","0","0","751","0","0","292","0","280"
"43","Heist","6","2","40","0","0","0","0","1200","buff","3","0","0","0","0","0","0","8","2","0","-1","0","0","4","$1,463 ","19","0","0","755","0","0","184","185","280"
"44","Cancellation","6","3","40","0","40318","2","1000","0","buff","3","0","0","46","48","0","0","8","1","0","-1","0","0","8","$1,464 ","19","0","0","870","0","0","0","0","280"
"45","Eruption","6","4","20","0","0","0","400","0","attack","3","22","4","5","0","0","0","1","64","0","8","0","0","16","$1,465 ","18","0","0","11750","0","0","0","0","0"
"46","Sun Burst","6","5","20","0","0","0","850","0","attack","3","40","10","5","0","0","0","2","64","0","4","0","0","32","$1,973 ","18","0","0","11758","0","0","0","0","0"
"47","Weakness","6","6","10","0","40318","1","500","64","buff","3","0","0","0","58","14","0","0","4","-5","3","0","0","64","$1,984 ","19","0","0","2228","0","0","692","0","280"
"48","Breath Weapon","6","7","20","0","0","0","0","1200","buff","3","0","0","0","0","0","0","0","2","0","-1","0","0","128","$1,985 ","19","0","0","2176","0","0","0","0","0"
"49","Heal All","7","0","50","30","0","0","500","0","none","20","10","8","0","0","0","0","4","16","0","0","-1","0","1","$1,466 ","19","0","0","759","0","0","0","0","0"
"50","Ice Lance","7","1","36","0","0","0","1000","16","attack","3","20","10","6","14","9","0","4","64","0","10","0","0","2","$1,467 ","18","0","0","756","0","0","0","0","0"
"51","Summon Monster","7","2","80","30","40318","20","1000","0","none","0","0","0","0","0","0","0","1","128","-10","0","0","0","4","$1,468 ","19","0","0","2510","0","0","0","0","0"
"52","Holy Walk","7","3","11","0","0","0","0","64","none","0","0","0","0","0","0","0","8","2","0","0","0","0","8","$1,469 ","19","0","0","3936","0","0","0","0","0"
"53","tornado","7","4","40","0","0","0","1000","0","none","3","20","10","5","0","0","0","8","64","0","0","4","0","16","$1,470 ","18","0","0","758","0","0","0","0","0"
"54","Greater Heist","7","5","60","0","0","0","0","2400","none","0","0","0","0","0","0","0","8","2","0","0","0","0","32","$1,976 ","19","0","0","3104","0","0","184","185","0"
"55","Berserker","7","6","40","0","0","0","0","320","buff","12","0","0","0","0","0","0","0","2","0","-1","0","0","64","$1,986 ","19","0","0","3943","0","0","0","0","280"
"56","Disease","7","7","10","0","40318","1","0","64","buff","3","0","0","0","70","10","0","0","4","-5","3","0","0","128","$1,987 ","19","0","0","2230","0","0","0","0","280"
"57","Full Heal","8","0","48","0","0","0","500","0","buff","3","12","12","0","0","0","0","12","16","0","-1","0","0","1","$1,471 ","19","0","0","11725","0","0","77","0","280"
"58","Firewall","8","1","60","0","0","0","0","10","attack","3","41","0","0","0","0","0","2","64","0","8","0","0","2","$1,472 ","18","0","0","168","0","0","0","0","0"
"59","Blizzard","8","2","60","10","0","0","1500","0","none","3","3","10","3","0","0","0","4","64","-10","0","10","0","4","$1,473 ","18","0","0","757","0","0","0","0","0"
"60","Invisibility","8","3","15","0","40318","1","0","0","none","0","0","0","0","0","0","0","0","2","0","0","0","0","8","$1,474 ","19","0","0","221","0","0","0","0","0"
"61","Resurrection","8","4","50","0","0","0","0","0","buff","3","0","0","0","0","0","0","0","32","0","-1","0","0","16","$1,475 ","19","0","0","3944","0","0","0","0","280"
"62","Earthquake","8","5","40","0","0","0","500","0","none","3","10","15","2","0","0","0","1","64","0","0","3","0","32","$1,974 ","18","0","0","1812","0","0","0","0","0"
"63","Life Stream","8","6","20","0","40318","1","0","320","buff","32","0","0","0","0","0","0","0","2","0","-1","3","0","64","$1,988 ","19","0","0","2231","0","0","0","0","0"
"64","silence","8","7","20","0","40318","1","500","16","buff","3","0","0","0","35","18","0","0","1","0","3","0","0","128","$1,989 ","19","0","0","2177","0","0","0","0","280"
"65","Lightning Storm","9","0","48","0","0","0","500","0","attack","3","25","10","5","0","0","0","8","64","0","10","4","0","1","$1,476 ","18","0","0","3924","0","0","0","0","0"
"66","Fog of Sleeping","9","1","40","0","40318","1","1500","8","buff","3","0","0","0","0","8","0","4","4","-5","10","3","0","2","$1,477 ","19","0","0","760","0","0","0","0","280"
"67","Shape Change","9","2","80","0","40318","1","0","7200","buff","3","0","0","0","30","12","0","0","1","0","1","0","0","4","$1,478 ","19","0","0","231","0","0","0","0","280"
"68","Immune to Harm","9","3","30","0","40318","2","1500","32","buff","4","0","0","0","0","0","0","0","2","0","-1","0","0","8","$1,479 ","19","0","0","228","0","0","314","315","280"
