"id","location","count","npc_templateid","group_id","locx","locy","randomx","randomy","locx1","locy1","locx2","locy2","heading","min_respawn_delay","max_respawn_delay","mapid","respawn_screen","movement_distance","rest","near_spawn"
"1","Frog","0","45005","0","33067","33392","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
"2","Frog","0","45005","0","33618","33247","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
"3","Frog","0","45005","0","33599","33255","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
"4","Frog","0","45005","0","33585","33240","0","0","0","0","0","0","0","60","120","4","0","100","0","0"
"5","Frog","0","45005","0","33599","33161","0","0","0","0","0","0","3","60","120","4","0","100","0","0"
"6","Frog","0","45005","0","33615","33163","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"7","Frog","0","45005","0","33669","33182","0","0","0","0","0","0","5","60","120","4","0","100","0","0"
"8","Frog","0","45005","0","32716","32441","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"9","Frog","0","45005","0","32730","32455","0","0","0","0","0","0","3","60","120","4","0","100","0","0"
"10","Frog","0","45005","0","32734","32440","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
"11","Frog","0","45005","0","32754","32440","0","0","0","0","0","0","3","60","120","4","0","100","0","0"
"12","Frog","0","45005","0","32634","33179","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"13","Frog","0","45005","0","32604","33177","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"14","Frog","0","45005","0","32618","33177","0","0","0","0","0","0","2","60","120","4","0","100","0","0"
"15","Frog","0","45005","0","32560","32263","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
"16","Frog","0","45005","0","32568","32237","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
"17","Frog","0","45005","0","32549","32219","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"18","Frog","0","45005","0","32595","32299","0","0","0","0","0","0","4","60","120","4","0","100","0","0"
"19","Frog","0","45005","0","32581","32447","0","0","0","0","0","0","6","60","120","4","0","100","0","0"
"20","Frog","0","45005","0","32569","32458","0","0","0","0","0","0","5","60","120","4","0","100","0","0"
"21","Frog","0","45005","0","32571","32481","0","0","0","0","0","0","3","60","120","4","0","100","0","0"
"22","Frog","0","45005","0","32592","32489","0","0","0","0","0","0","0","60","120","4","0","100","0","0"
"23","Frog","0","45005","0","32692","32463","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"24","Frog","0","45005","0","32705","32437","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"25","Frog","0","45005","0","32745","32374","0","0","0","0","0","0","2","60","120","4","0","100","0","0"
"26","Frog","0","45005","0","32721","32514","0","0","0","0","0","0","5","60","120","4","0","100","0","0"
"27","Frog","0","45005","0","32713","32520","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"28","Frog","0","45005","0","32706","32461","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"29","Frog","0","45005","0","32557","32387","0","0","0","0","0","0","5","60","120","4","0","100","0","0"
"30","Frog","0","45005","0","32563","32362","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
"31","Frog","0","45005","0","32551","32349","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
"32","Frog","0","45005","0","32556","32329","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"33","Frog","0","45005","0","32552","32310","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"34","Frog","0","45005","0","32565","32297","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"35","Frog","0","45005","0","32562","32280","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"36","Frog","0","45005","0","32547","32272","0","0","0","0","0","0","5","60","120","4","0","100","0","0"
"37","Frog","0","45005","0","32550","32284","0","0","0","0","0","0","1","60","120","4","0","100","0","0"
"38","Frog","0","45005","0","32567","32253","0","0","0","0","0","0","7","60","120","4","0","100","0","0"
