"id","location","cycle_type","count","npc_id","group_id","locx","locy","randomx","randomy","locx1","locy1","locx2","locy2","heading","mapid","respawn_screen","movement_distance","rest","spawn_type","percentage"
"1","Giant Crocodile","DK1","1","7210037","0","33503","33205","0","0","0","0","0","0","0","4","0","0","0","0","100"
"2","Necromancer","SM4","1","45456","15","32727","32751","0","0","32754","32757","32758","32792","0","12","0","0","0","0","100"
"6","Mambo Rabbit","DK1","1","45534","20","32594","33009","0","0","32581","32993","32654","33044","0","440","0","0","0","0","100"
"7","Ifrit","DK1","1","7210023","0","33645","32265","0","0","33635","32232","33657","32314","0","4","0","0","0","0","100"
"11","Giant Drake","DK1","1","45529","17","33406","32412","0","0","0","0","0","0","5","4","0","0","0","0","100"
"12","Giant Drake","DK1","1","45529","0","33355","32353","0","0","0","0","0","0","5","4","0","0","0","0","100"
"15","Mambo King","DK1","1","45535","21","32799","32839","0","0","0","0","0","0","0","430","0","0","0","0","100"
"16","Black Elder","DK1","1","45545","16","33385","32349","0","0","0","0","0","0","0","4","0","0","0","0","100"
"18","Doppelganger","DK1","1","45546","0","33709","33307","0","0","0","0","0","0","0","4","0","0","0","0","100"
"19","Baphomet","dun","1","45573","0","32706","32846","0","0","0","0","0","0","5","2","0","0","0","0","100"
"20","Byleth","dun","1","45583","0","32768","32768","0","0","0","0","0","0","0","24","0","0","0","0","100"
"26","Ice Queen","dun","1","45609","0","32841","32921","0","0","0","0","0","0","5","74","0","0","0","0","100"
"31","unicorn","SM","1","45640","0","32735","32738","20","20","0","0","0","0","4","303","0","0","0","0","100"
"32","unicorn","SM1","1","45640","0","32735","32738","20","20","0","0","0","0","4","303","0","0","0","0","100"
"33","unicorn","SM2","1","45640","0","32735","32738","20","20","0","0","0","0","4","303","0","0","0","0","100"
"34","Great Spirit of the Earth","SM10","1","45642","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"35","Great Spirit of Water","SM9","1","45643","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"36","Great Spirit of Wind","SM8","1","45644","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"37","Great Spirit of Fire","SM12","1","45645","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"38","Great Spirit of the Earth","SM11","1","45642","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"39","Great Spirit of Water","SM13","1","45643","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"40","Great Spirit of Wind","SM14","1","45644","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"41","Great Spirit of Fire","SM15","1","45645","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"42","Great Spirit of the Earth","SM5","1","45642","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"43","Great Spirit of Water","SM6","1","45643","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"44","Great Spirit of Wind","SM7","1","45644","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"45","Great Spirit of Fire","SM16","1","45645","0","32735","32738","30","30","0","0","0","0","4","303","0","0","0","0","100"
"50","Spirit Monitor","DK1","1","45646","22","32824","32815","0","0","0","0","0","0","0","430","0","0","0","0","100"
"53","Baranca, King of the Demonic Beasts","DK1","1","45651","19","32915","32896","0","0","0","0","0","0","0","320","0","0","0","0","100"
"60","death","sungdun","1","45674","0","32746","32897","0","0","0","0","0","0","0","523","0","0","0","0","100"
"61","Yahi","sungdun","1","45675","0","32733","32894","0","0","0","0","0","0","0","524","0","0","0","0","100"
"62","Kenrauher","sungdun","1","45680","18","34090","33260","0","0","0","0","0","0","0","4","0","0","0","0","100"
"67","depravity","sungdun","1","45685","0","32904","32801","0","0","0","0","0","0","0","289","0","0","0","0","100"
"69","Leader of the Mermen","DK1","1","45735","0","32899","33116","0","0","0","0","0","0","0","558","0","0","0","0","100"
"70","Balrog","sungdun","1","45752","0","32726","32832","0","0","0","0","0","0","0","603","0","0","0","0","100"
"71","Dirty Orc Warrior","DK1","1","45772","0","32752","32809","0","0","0","0","0","0","5","244","0","0","0","0","100"
"72","Spirit","DK1","1","45795","0","32863","32929","10","10","0","0","0","0","5","244","0","0","0","0","100"
"73","Mino Shaman's Dire Golem","sungdun","1","45801","0","32778","32797","0","0","0","0","0","0","5","255","0","0","0","0","100"
"74","test","sungdun","1","45802","0","32804","32870","0","0","32701","32903","0","0","5","256","0","0","0","0","100"
"75","Barbados","sungdun","1","45829","0","32675","32860","0","0","0","0","0","0","0","254","0","0","0","0","100"
"76","Jose","dun","1","45548","0","32742","32861","0","0","0","0","0","0","5","484","0","0","0","0","100"
"77","Captain of the Earl's Guard","sungdun","1","46024","51","32737","32827","0","0","0","0","0","0","5","250","0","0","0","0","100"
"78","Count Talos","sungdun","1","46025","0","32766","32767","0","0","0","0","0","0","5","56","0","0","0","0","100"
"79","Mammon","sungdun","1","46026","0","32797","32790","0","0","0","0","0","0","5","251","0","0","0","0","100"
"80","Black Magician Maya","sungdun","1","46037","0","32796","33072","0","0","0","0","0","0","6","258","0","0","0","0","100"
