"id","note","npcid","info","rndXY","groupid","is_yn","is_ment","ment"
"5","Giant Drake","45529","出現デー:月,火,水,木,金,土,日
出現タイム:4時30分,8時30分,12時30分,16時30分,20時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:33406,32412,4","15","17","0","0",""
"6","Giant Drake","45529","出現デー:月,火,水,木,金,土,日
出現タイム:23時30分,5時30分,11時30分,17時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:33355,32353,4","15","0","0","0",""
"9","Doppelganger","45546","出現デー:月,火,水,木,金,土,日
出現タイム:4時30分,8時30分,12時30分,16時30分,20時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:33709,33307,4","0","0","0","0",""
"10","Baphomet","45573","出現デー:月,火,水,木,金,土,日
出現タイム:2時18分,2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,24時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32706,32846,2","0","0","0","0",""
"30","death","45674","出現デー:月,火,水,木,金,土,日
出現タイム:3時01分,6時01分,9時01分,12時01分,15時01分,18時01分,21時01分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32746,32897,523","0","0","0","0",""
"31","Yahi","45675","出現デー:月,火,水,木,金,土,日
出現タイム:3時01分,6時01分,9時01分,12時01分,15時01分,18時01分,21時01分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32733,32894,524","0","0","0","0",""
"33","depravity","45685","出現デー:月,火,水,木,金,土,日
出現タイム:3時01分,6時01分,9時01分,12時01分,15時01分,18時01分,21時01分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32904,32801,289","0","0","0","0",""
"35","Balrog","45752","出現デー:月,火,水,木,金,土,日
出現タイム:3時01分,6時01分,9時01分,12時01分,15時01分,18時01分,21時01分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32726,32832,603
","0","0","0","0",""
"42","Count Talos","46025","出現デー:月,火,水,木,金,土,日
出現タイム:3時01分,6時01分,9時01分,12時01分,15時01分,18時01分,21時01分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32766,32767,56","0","0","0","0",""
"50","Giant Worm","45944","出現デー:月,火,水,木,金,土,日
出現タイム:3時30分,6時30分,9時30分,12時30分,15時30分,18時30分,21時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32735,32799,63","15","0","0","0",""
"54","Giltas","81163","出現デー:月,火,水,木,金,土,日
出現タイム:23時30分,5時30分,11時30分,17時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32866,32862,535","0","0","0","0",""
"55","Recanto","5134","出現デー:月,火,水,木,金,土,日
出現タイム:3時10分,6時10分,9時10分,12時10分,15時10分,18時10分,21時10分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32674,32857,0","15","0","0","0",""
"56","Kepare","5046","出現デー:月,火,水,木,金,土,日
出現タイム:3時01分,6時01分,9時01分,12時01分,15時01分,18時01分,21時01分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32502,32929,0","15","0","0","0",""
"57","Sharsky the Gale","5019","出現デー:月,火,水,木,金,土,日
出現タイム:3時30分,6時30分,9時30分,12時30分,15時30分,18時30分,21時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:34051,32475,4","0","0","0","0",""
"58","Storm Sharsky","5020","出現デー:月,火,水,木,金,土,日
出現タイム:4時40分,8時40分,12時40分,16時40分,20時40分,0時40分
ランダムタイム:1分
削除タイム:3600秒
出現座標:34052,32476,4","0","0","0","0",""
