"id","type","location","npc_id","locx","locy","heading"
"259","0","ユニコーン","7200003","32801","32862","4"
"1","0","沈黙の洞窟の光","900155","32801","32862","0"
"2","1","封印術士","7200005","32798","32862","2"
"3","1","封印術士","7200006","32801","32865","0"
"4","1","封印術士","7200007","32804","32859","5"
"5","1","コラプト ガード","7200004","32797","32862","0"
"6","1","コラプト ガード","7200004","32801","32866","0"
"7","2","夢幻のポルシス","7200008","32799","32852","0"
"8","2","夢幻のポルシス","7200008","32799","32852","0"
"9","2","夢幻のポルシス","7200008","32799","32852","0"
"10","2","夢幻のポルシス","7200008","32799","32852","0"
"11","2","夢幻のポルシス","7200008","32799","32852","0"
"12","2","夢幻のポルシス","7200008","32799","32852","0"
"13","2","夢幻のポルシス","7200008","32799","32852","0"
"14","2","夢幻のポルシス","7200008","32799","32852","0"
"15","2","夢幻のポルシス","7200008","32799","32852","0"
"16","2","夢幻のポルシス","7200008","32799","32852","0"
"17","2","夢幻のポルシス","7200008","32799","32852","0"
"18","3","夢幻のカウル","7200009","32810","32863","0"
"19","3","夢幻のカウル","7200009","32810","32863","0"
"20","3","夢幻のカウル","7200009","32810","32863","0"
"21","3","夢幻のカウル","7200009","32810","32863","0"
"22","3","夢幻のカウル","7200009","32810","32863","0"
"23","3","夢幻のクリアン","7200013","32810","32863","0"
"24","3","夢幻のクリアン","7200013","32810","32863","0"
"25","3","夢幻のクリアン","7200013","32810","32863","0"
"26","3","夢幻のクリアン","7200013","32810","32863","0"
"27","3","夢幻のクリアン","7200013","32810","32863","0"
"28","4","夢幻のコトルゥ","7200010","32801","32873","0"
"29","4","夢幻のコトルゥ","7200010","32801","32873","0"
"30","4","夢幻のコトルゥ","7200010","32801","32873","0"
"31","4","夢幻のコトルゥ","7200010","32801","32873","0"
"32","4","夢幻のコトルゥ","7200010","32801","32873","0"
"33","4","夢幻のウラパ","7200014","32801","32873","0"
"34","4","夢幻のウラパ","7200014","32801","32873","0"
"35","4","夢幻のウラパ","7200014","32801","32873","0"
"36","4","夢幻のウラパ","7200014","32801","32873","0"
"37","4","夢幻のウラパ","7200014","32801","32873","0"
"38","5","夢幻のメイガ","7200011","32789","32861","0"
"39","5","夢幻のメイガ","7200011","32789","32861","0"
"40","5","夢幻のメイガ","7200011","32789","32861","0"
"41","5","夢幻のメイガ","7200011","32789","32861","0"
"42","5","夢幻のメイガ","7200011","32789","32861","0"
"43","5","夢幻のビア","7200015","32789","32861","0"
"44","5","夢幻のビア","7200015","32789","32861","0"
"45","5","夢幻のビア","7200015","32789","32861","0"
"46","5","夢幻のビア","7200015","32789","32861","0"
"47","5","夢幻のビア","7200015","32789","32861","0"
"48","6","地の大精霊","7200018","32810","32863","0"
"49","7","風の大精霊","7200016","32801","32873","0"
"50","8","九尾の狐","7200020","32789","32861","0"
"51","9","ユニコーン","7200021","32801","32862","4"
"52","10","ああヴィシー","7199998","32789","32861","0"
"53","11","アズモダン","7199999","32789","32861","0"
