"id","type","location","npc_id","locx","locy","heading"
"1","0","ハーディン","900137","32734","32724","6"
"2","0","スケルトンドア1","900151","32664","32807","0"
"3","0","スケルトンドア2","900152","32673","32820","0"
"4","0","スケルトンドア3","900151","32668","32833","0"
"5","0","スケルトンドア4","900151","32698","32803","0"
"6","0","スケルトンドア5","900151","32680","32797","0"
"7","0","スケルトンドア6","900152","32707","32789","0"
"8","0","スケルトンドア7","900151","32725","32795","0"
"9","0","スケルトンドア8","900152","32705","32816","0"
"10","0","スケルトンドア9","900152","32726","32812","0"
"11","0","スケルトンドア10","900152","32755","32818","0"
"12","0","スケルトンドア11","900152","32776","32806","0"
"13","0","鉄の窓1","900153","32661","32823","0"
"14","0","鉄の窓2","900154","32672","32858","0"
"15","0","鉄の窓3","900154","32740","32788","0"
"16","0","鉄の窓4","900154","32750","32793","0"
"17","0","鉄の窓5","900154","32766","32791","0"
"18","0","鉄の窓6","900153","32808","32792","0"
"19","0","鉄の窓7","900153","32741","32804","0"
"20","0","鉄の窓8","900154","32806","32824","0"
"21","0","鉄の窓9","900153","32803","32832","0"
"22","0","スケルトンドア12","900151","32798","32844","0"
"23","0","スケルトンドア13","900152","32759","32847","0"
"24","0","スケルトンドア14","900152","32723","32848","0"
"25","0","鉄の窓10","900154","32732","32872","0"
"26","0","鉄の窓11","900154","32736","32872","0"
"27","0","鉄の窓12","900154","32740","32872","0"
"28","0","鉄の窓13","900154","32795","32870","0"
"29","0","鉄の窓14","900153","32803","32862","0"
"235","11","魔界のスケルトンマークスマン","900113","32703","32855","0"
"30","0","トラップ位ジョクグ","900156","32666","32817","0"
"31","0","トラップ位ジョクグ","900156","32668","32817","0"
"32","0","トラップ位ジョクグ","900156","32666","32819","0"
"33","0","トラップ位ジョクグ","900156","32668","32819","0"
"34","0","トラップ位ジョクグ","900156","32684","32816","0"
"35","0","トラップ位ジョクグ","900156","32703","32800","0"
"36","0","トラップ位ジョクグ","900156","32703","32791","0"
"37","0","トラップ位ジョクグ","900156","32710","32803","0"
"38","0","トラップ位ジョクグ","900156","32712","32793","0"
"39","0","トラップ位ジョクグ","900156","32732","32789","0"
"40","0","トラップ位ジョクグ","900156","32760","32791","0"
"41","0","トラップ位ジョクグ","900156","32807","32837","0"
"42","0","トラップ位ジョクグ","900156","32809","32837","0"
"43","0","トラップ位ジョクグ","900156","32807","32839","0"
"44","0","トラップ位ジョクグ","900156","32809","32839","0"
"102","2","魔界のスケルトンパイク","900115","32701","32814","0"
"103","2","魔界のデス","900118","32702","32818","0"
"98","2","魔界のスケルトンパイク","900115","32690","32811","0"
