"id","location","count","npc_templateid","locx","locy","randomx","randomy","heading","respawn_delay","mapid","movement_distance"
"1","Guardian Tower","1","81111","32798","32285","0","0","0","0","4","100"
"2","Guardian Tower","1","81111","33168","32779","0","0","0","0","4","100"
"3","Guardian Tower","1","81111","32623","33379","0","0","0","0","4","100"
"4","Guardian Tower","1","81111","33631","32678","0","0","0","0","4","100"
"5","Guardian Tower","1","81111","33524","33396","0","0","0","0","4","100"
"6","Guardian Tower","1","81111","32828","32818","0","0","0","0","66","0"
"7","Novice Merchant Fraun","1","70008","32675","32841","0","0","5","0","2005","0"
"11","Teleporter Lucas","1","50015","32583","32922","0","0","4","0","0","0"
"12","Teleporter Stanley","1","50020","33050","32783","0","0","7","0","4","100"
"13","Teleporter Riolu","1","50066","33613","33257","0","0","7","0","4","100"
"14","Teleporter Sirius","1","50044","33964","33252","0","0","4","0","4","100"
"15","Teleporter^Eleris","1","50046","33934","33351","0","0","6","0","4","100"
"16","Teleporter^Kinin","1","50608","34109","33350","0","0","4","0","4","100"
"17","Teleporter^Kirius","1","50051","34063","32278","0","0","5","0","4","100"
"18","Teleporter Leslie","1","50039","33709","32499","0","0","6","0","4","100"
"19","Teleporter Wilma","1","50036","33437","32795","0","0","4","0","4","100"
"20","Teleporter Daniel","1","50079","32659","32524","0","0","6","0","4","100"
"21","Paul","1","50080","32657","32540","0","0","4","0","4","100"
"22","Teleporter ^ Rivian","0","50065","33054","32348","0","0","4","0","4","100"
"25","Market Teleporter^Mede","1","50027","32634","32797","0","0","6","0","4","100"
"26","Market Teleporter^Mede","1","50027","32629","32721","0","0","5","0","4","100"
"27","Market Teleporter Elbow","1","50050","34061","32304","0","0","4","0","4","100"
"28","Market Teleporter Elbow","1","50050","34063","32272","0","0","6","0","4","100"
"29","Market Teleporter Elba","1","50034","33510","32766","0","0","4","0","4","100"
"30","Teleporter^Geno","0","50016","32600","32914","0","0","5","0","0","0"
"31","Teleporter ^ Asiris","0","50071","32623","32692","0","0","7","0","70","0"
"34","Teleporter^Dianos","1","50068","32894","32886","0","0","6","0","304","0"
