"id","npc_id","memo","name","locx","locy","mapid","heading","title","shop_name"
"1","6100000","1次","First-tier arms dealer","32871","32865","631","6","",""
"2","6100001","1次","First-round trader","32871","32867","631","6","",""
"3","6100002","1次","1st T-shirt merchant","32871","32869","631","6","",""
"4","6100003","1次","1st Cloak Dealer","32871","32871","631","6","",""
"5","6100004","1次","1st Order Armor Merchant","32871","32873","631","6","",""
"6","6100005","1次","1st Shield Merchant","32871","32875","631","6","",""
"7","6100006","1次","1st Glove Merchant","32871","32877","631","6","",""
"8","6100007","1次","1st Boots Merchant","32871","32879","631","6","",""
"9","6100008","1次","1st Necklace Dealer","32871","32881","631","6","",""
"10","6100009","1次","Primary Peer Trader","32871","32883","631","6","",""
"11","6100010","1次","First Ring Merchant","32871","32885","631","6","",""
"12","6100011","1次","First Belt Dealer","32871","32887","631","6","",""
"13","6100012","2次","Secondary arms dealer","32868","32865","631","6","",""
"14","6100013","2次","Primary Gaiter","32868","32867","631","6","",""
"15","6100014","2次","secondary weapon","33001","32910","631","6","",""
"16","6100015","2次","Secondary Cloak Dealer","33001","32912","631","6","",""
"17","6100016","2次","Secondary Armor Merchant","33001","32914","631","6","",""
"18","6100017","2次","Secondary Shield Merchant","33001","32916","631","6","",""
"19","6100018","2次","Secondary Glove Merchant","33001","32918","631","6","",""
"20","6100019","2次","Secondary Boots Merchant","33001","32920","631","6","",""
"21","6100020","2次","Secondary Necklace Dealer","33001","32922","631","6","",""
"22","6100021","2次","Secondary Earring Trader","33001","32924","631","6","",""
"23","6100022","2次","Second Ring Merchant","33001","32926","631","6","",""
"24","6100023","2次","Secondary Belt Merchant 00","33001","32928","631","6","",""
"25","6100024","3次","Third-tier arms dealer","33001","32930","631","6","",""
"26","6100025","3次","Third pitch trader","33001","32932","631","6","",""
"27","6100026","3次","Secondary gaiters","33001","32934","631","6","",""
"28","6100027","3次","Third-order cloak dealer","32865","32871","631","6","",""
"29","6100028","3次","Third Order Armor Merchant","32865","32873","631","6","",""
"30","6100029","3次","Third Shield Dealer","32865","32875","631","6","",""
"31","6100030","3次","Third-tier glove merchant","32865","32877","631","6","",""
"32","6100031","3次","3rd Boots Merchant","32865","32879","631","6","",""
"33","6100032","3次","3rd Order Necklace Dealer","32865","32881","631","6","",""
"34","6100033","3次","Third Order Earring Dealer","32865","32883","631","6","",""
"35","6100034","3次","Merchant of the Third Ring","32865","32885","631","6","",""
"36","6100035","3次","Third Belt Trader","32748","32940","631","6","",""
