"id","npc_id","memo","name","locx","locy","mapid","heading","title","shop_name"
"1","4000001","県補助キャッシュ","Prefectural subsidy cash","32795","32913","800","1","","\\fRf=축순 결정체"
"2","4000002","ゴプチュ","Gobchu","32819","32939","800","2","","축저주젤데이팜"
"3","4000003","祝福された市場","Blessed Market","32814","32919","800","3","","마투,마망,티,강부축젤 5마투5 마망팜"
"4","4000004","唐辛子農業","chili pepper farming","32791","32907","800","4","","5마망 ㅍㅍ"
"5","4000005","様ジョムチョワンのようだ","It looks like Jomchowan","32807","32913","800","5","","고대갑옷,멸마류."
"6","4000006","酒女性お金装置","Sake woman money device","32804","32908","800","6","","5마투 축젤 ㅍㅍ"
"7","4000007","2ルーム住ん","Living in a two-room apartment","32792","32939","800","1","","\\f3f35마망팜팜"
"8","4000008","ゴンスレ","Gonsle","32820","32932","800","2","","\\fRf=이반 변반 멸마 지식팜"
"9","4000009","なぜ私だけを見て","Why are you only looking at me?","32782","32930","800","3","","\\fRf=트벨빛정빛영팜"
"10","4000010","マゼ","Maze","32798","32915","800","4","","7강도7살천7해신7파대7쿠창7질풍7뇌신"
"11","4000011","歩哨ね","Sentry","32782","32932","800","5","","\\fRf=완력/민목/지식/빛정/트벨/팜"
"12","4000012","Wiz","Wiz","32782","32935","800","6","","\\f0f2악세사리 팝니다."
"13","4000013","ガオ","Gao","32814","32913","800","1","","\\f0f279크로/9레이/89일도/78사활"
"14","4000014","あら","fault","32780","32939","800","2","","\\fRf=수지.마력서.마나망토(인첸)"
"15","4000015","マーフィーの法則","Murphy's Law","32810","32918","800","3","","5돌장5타부5타장5은망5완부5민부5지부5마각"
"16","4000016","グレゴリー","Gregory","32815","32923","800","4","","각종법서"
"17","4000017","ローズマリー","rosemary","32796","32938","800","5","","악세류 ㅍㅍㅍ"
"18","4000018","2009/09/21カノ","2009/09/21 Kano","32807","32907","800","6","","[러쉬]7마투7보망7티7파글7강부팜"
"19","4000019","キール","keel","32813","32905","800","1","","7마투7마투!!!"
"20","4000020","直立レ","Upright","32790","32940","800","2","","ㅋㅋ러쉬용7 마투ㅋㅋ"
