"id","type","location","npc_id","locx","locy","heading"
"1","1","フェニックスの卵(大)#","7210018","32629","33050","0"
"2","1","フェニックスの卵(中)#","7210017","32620","33067","0"
"3","1","フェニックスの卵(小)#","7210016","32597","33057","0"
"4","1","フェニックスの卵(特大)#","7210019","32598","33041","0"
"5","1","フェニックスの卵(特大)#","7210019","32609","32984","0"
"6","1","フェニックスの卵(小)#","7210016","32601","32989","0"
"7","1","フェニックスの卵(大)#","7210018","32613","33034","0"
"8","1","フェニックスの卵(中)#","7210017","32624","33040","0"
"9","1","フェニックスの卵(特大)#","7210019","32613","33050","0"
"10","1","フェニックスの卵(小)#","7210016","32631","33028","0"
"11","1","フェニックスの卵(中)#","7210017","32642","32987","0"
"12","1","フェニックスの卵(大)#","7210018","32667","33012","0"
"13","1","フェニックスの卵(小)#","7210016","32666","33031","0"
"14","1","フェニックスの卵(特大)#","7210019","32671","33051","0"
"15","1","フェニックスの卵(大)#","7210018","32655","33059","0"
"16","1","フェニックスの卵(中)#","7210017","32658","33065","0"
"17","1","フェニックスの卵(小)#","7210016","32668","33057","0"
"18","1","フェニックスの卵(特大)#","7210019","32682","33050","0"
"19","1","フェニックスの卵(特大)#","7210019","32692","33067","0"
"20","1","フェニックスの卵(小)#","7210016","32703","33042","0"
"21","1","フェニックスの卵(特大)#","7210019","32735","33062","0"
"22","1","フェニックスの卵(大)#","7210018","32745","33049","0"
"23","1","フェニックスの卵(中)#","7210017","32744","33059","0"
"24","1","フェニックスの卵(小)#","7210016","32728","33032","0"
"25","1","フェニックスの卵(特大)#","7210019","32742","33034","0"
"26","1","フェニックスの卵(中)#","7210017","32716","33018","0"
"27","2","足1","7210013","32655","33002","0"
"28","2","足2","7210014","32695","33054","0"
"29","2","足3","7210015","32735","33008","0"
"30","0","火竜の燃える戦士","7210033","32629","33024","0"
"31","0","火竜の燃える戦士","7210033","32629","33024","0"
"32","0","火竜の燃える戦士","7210033","32629","33024","0"
"33","1","火竜の燃える戦士","7210033","32629","33024","0"
"34","0","火竜の燃える戦士","7210033","32629","33024","0"
"35","0","火竜の燃える戦士","7210033","32629","33024","0"
"36","0","火竜の燃える戦士","7210033","32629","33024","0"
"37","0","火竜の燃える戦士","7210033","32629","33024","0"
"38","0","火竜のバーニングアーチャー","7210032","32629","33024","0"
"39","0","火竜のファイアーエッグ","7210031","32629","33024","0"
"40","0","火竜のファイアーエッグ","7210031","32629","33024","0"
"41","0","火竜のファイアーエッグ","7210031","32629","33024","0"
"42","0","火竜のファイアーエッグ","7210031","32629","33024","0"
"43","0","火竜のファイアーエッグ","7210031","32629","33024","0"
"44","0","火竜のファイアーエッグ","7210031","32629","33024","0"
"45","1","火竜のファイアーエッグ","7210031","32629","33024","0"
"46","0","火竜のファイアーエッグ","7210031","32629","33024","0"
"47","0","火竜の燃える戦士","7210033","32616","33001","0"
"48","0","火竜の燃える戦士","7210033","32616","33001","0"
"49","0","火竜の燃える戦士","7210033","32616","33001","0"
"50","0","火竜の燃える戦士","7210033","32616","33001","0"
"51","1","火竜の燃える戦士","7210033","32616","33001","0"
"52","0","火竜のバーニングアーチャー","7210032","32616","33001","0"
"53","0","火竜のバーニングアーチャー","7210032","32616","33001","0"
"54","0","火竜のファイアーエッグ","7210031","32616","33001","0"
"55","0","火竜のファイアーエッグ","7210031","32616","33001","0"
"56","0","火竜のファイアーエッグ","7210031","32616","33001","0"
"57","1","火竜のファイアーエッグ","7210031","32616","33001","0"
"58","0","火竜のファイアーエッグ","7210031","32616","33001","0"
"59","0","火竜のファイアーエッグ","7210031","32616","33001","0"
"60","0","火竜のファイアーエッグ","7210031","32616","33001","0"
"61","0","火竜のファイアーエッグ","7210031","32616","33001","0"
"62","0","火竜のファイアーエッグ","7210031","32616","33001","0"
"63","1","火竜の燃える戦士","7210033","32641","32997","0"
"64","0","火竜の燃える戦士","7210033","32641","32997","0"
"65","0","火竜の燃える戦士","7210033","32641","32997","0"
"66","0","火竜の燃える戦士","7210033","32641","32997","0"
"67","0","火竜のバーニングアーチャー","7210032","32641","32997","0"
"68","0","火竜のバーニングアーチャー","7210032","32641","32997","0"
"69","0","火竜のファイアーエッグ","7210031","32641","32997","0"
"70","0","火竜のファイアーエッグ","7210031","32641","32997","0"
"71","0","火竜のファイアーエッグ","7210031","32641","32997","0"
"72","0","火竜のファイアーエッグ","7210031","32641","32997","0"
"73","0","火竜のファイアーエッグ","7210031","32641","32997","0"
"74","0","火竜のファイアーエッグ","7210031","32641","32997","0"
"75","1","火竜のファイアーエッグ","7210031","32641","32997","0"
"76","0","火竜のファイアーエッグ","7210031","32641","32997","0"
"77","0","火竜のファイアーエッグ","7210031","32641","32997","0"
"78","2","火竜のレオ","7210026","32644","33000","0"
"79","1","火竜のファイアーエッグ","7210031","32662","33016","0"
"80","0","火竜のファイアーエッグ","7210031","32662","33016","0"
"81","0","火竜のファイアーエッグ","7210031","32662","33016","0"
"82","1","火竜のファイアーエッグ","7210031","32662","33016","0"
"83","0","火竜のファイアーエッグ","7210031","32662","33016","0"
"84","0","火竜のファイアーエッグ","7210031","32662","33016","0"
"85","0","火竜のファイアーエッグ","7210031","32662","33016","0"
"86","0","火竜のアシタジオ","7210030","32662","33016","0"
"87","0","火竜のアシタジオ","7210030","32662","33016","0"
"88","1","火竜のアシタジオ","7210030","32662","33016","0"
"89","0","火竜のアシタジオ","7210030","32662","33016","0"
"90","0","火竜のアシタジオ","7210030","32662","33016","0"
"91","1","火竜のアシタジオ","7210030","32662","33016","0"
"92","0","火竜のベネボス","7210027","32662","33016","0"
"93","0","火竜のベネボス","7210027","32662","33016","0"
"94","0","火竜のベネボス","7210027","32662","33016","0"
"95","0","火竜のベネボス","7210027","32662","33016","0"
"96","0","火竜のベネボス","7210027","32662","33016","0"
"97","1","火竜のベネボス","7210027","32662","33016","0"
"98","0","火竜のファイアーエッグ","7210031","32685","32987","0"
"99","0","火竜のファイアーエッグ","7210031","32685","32987","0"
"100","1","火竜のファイアーエッグ","7210031","32685","32987","0"
"101","0","火竜のファイアーエッグ","7210031","32685","32987","0"
"102","0","火竜のファイアーエッグ","7210031","32685","32987","0"
"103","1","火竜のファイアーエッグ","7210031","32685","32987","0"
"104","0","火竜のファイアーエッグ","7210031","32685","32987","0"
"105","0","火竜のファイアーエッグ","7210031","32685","32987","0"
"106","0","火竜のファイアーエッグ","7210031","32685","32987","0"
"107","0","火竜のファイアーエッグ","7210031","32685","32987","0"
"108","0","火竜のアシタジオ","7210030","32685","32987","0"
"109","1","火竜のアシタジオ","7210030","32685","32987","0"
"110","0","火竜のアシタジオ","7210030","32685","32987","0"
"111","0","火竜のアシタジオ","7210030","32685","32987","0"
"112","1","火竜のアシタジオ","7210030","32685","32987","0"
"113","0","火竜のベネボス","7210027","32685","32987","0"
"114","0","火竜のベネボス","7210027","32685","32987","0"
"115","0","火竜のベネボス","7210027","32685","32987","0"
"116","0","火竜のベネボス","7210027","32685","32987","0"
"117","0","火竜のベネボス","7210027","32685","32987","0"
"118","1","火竜のファイアーエッグ","7210031","32700","33003","0"
"119","0","火竜のファイアーエッグ","7210031","32700","33003","0"
"120","0","火竜のファイアーエッグ","7210031","32700","33003","0"
"121","0","火竜のファイアーエッグ","7210031","32700","33003","0"
"122","0","火竜のファイアーエッグ","7210031","32700","33003","0"
"123","0","火竜のファイアーエッグ","7210031","32700","33003","0"
"124","1","火竜のファイアーエッグ","7210031","32700","33003","0"
"125","0","火竜のファイアーエッグ","7210031","32700","33003","0"
"126","0","火竜のファイアーエッグ","7210031","32700","33003","0"
"127","0","火竜のファイアーエッグ","7210031","32700","33003","0"
"128","0","火竜のアシタジオ","7210030","32700","33003","0"
"129","0","火竜のアシタジオ","7210030","32700","33003","0"
"130","1","火竜のアシタジオ","7210030","32700","33003","0"
"131","0","火竜のアシタジオ","7210030","32700","33003","0"
"132","0","火竜のアシタジオ","7210030","32700","33003","0"
"133","0","火竜のベネボス","7210027","32700","33003","0"
"134","0","火竜のベネボス","7210027","32700","33003","0"
"135","0","火竜のベネボス","7210027","32700","33003","0"
"136","0","火竜のベネボス","7210027","32700","33003","0"
"137","0","火竜のベネボス","7210027","32700","33003","0"
"138","0","火竜のファイアーエッグ","7210031","32667","33023","0"
"139","1","火竜のファイアーエッグ","7210031","32667","33023","0"
"140","0","火竜のファイアーエッグ","7210031","32667","33023","0"
"141","0","火竜のファイアーエッグ","7210031","32667","33023","0"
"142","0","火竜のファイアーエッグ","7210031","32667","33023","0"
"143","0","火竜のアシタジオ","7210030","32667","33023","0"
"144","0","火竜のアシタジオ","7210030","32667","33023","0"
"145","1","火竜のアシタジオ","7210030","32667","33023","0"
"146","0","火竜のベネボス","7210027","32667","33023","0"
"147","0","火竜のベネボス","7210027","32667","33023","0"
"148","1","火竜のベネボス","7210027","32667","33023","0"
"149","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"150","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"151","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"152","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"153","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"154","1","火竜のファイアーエッグ","7210031","32686","33037","0"
"155","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"156","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"157","1","火竜のファイアーエッグ","7210031","32686","33037","0"
"158","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"159","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"160","1","火竜のファイアーエッグ","7210031","32686","33037","0"
"161","0","火竜のファイアーエッグ","7210031","32686","33037","0"
"162","0","火竜のアシタジオ","7210030","32686","33037","0"
"163","0","火竜のアシタジオ","7210030","32686","33037","0"
"164","0","火竜のアシタジオ","7210030","32686","33037","0"
"165","0","火竜のアシタジオ","7210030","32686","33037","0"
"166","0","火竜のベネボス","7210027","32686","33037","0"
