"town_id","name","leader_id","leader_name","tax_rate","tax_rate_reserved","sales_money","sales_money_yesterday","town_tax","town_fix_tax"
"1","話せる島","0",,"0","0","0","0","0","0"
"2","シルバーナイトタウン","0",,"0","0","0","0","0","0"
"3","グルーディオ","0",,"0","0","0","0","0","0"
"4","火田村","0",,"0","0","0","0","0","0"
"5","オジュベク","0",,"0","0","0","0","0","0"
"6","ケント","0",,"0","0","0","0","0","0"
"7","ギラン","0",,"0","0","0","0","0","0"
"8","ハイネ","0",,"0","0","0","0","0","0"
"9","ウェルダン","0",,"0","0","0","0","0","0"
"10","オーレン","0",,"0","0","0","0","0","0"
"19","クラウディア","0",,"0","0","0","0","0","0"
