"id","note","type","gfxId","isDetectionable","base","dice","diceCount","poisonType","poisonDelay","poisonTime","poisonDamage","monsterNpcId","monsterCount","teleportX","teleportY","teleportMapId","skillId","skillTimeSeconds"
"1","Trabasami","L1DamageTrap","1065","1","10","10","1","-","0","0","0","0","0","0","0","0","0","0"
"2","heel","L1HealingTrap","1074","0","10","10","1","-","0","0","0","0","0","0","0","0","0","0"
"3","Damage poison","L1PoisonTrap","1066","1","0","0","0","d","0","5000","10","0","0","0","0","0","0","0"
"4","Silent poison","L1PoisonTrap","1066","1","0","0","0","s","0","0","10","0","0","0","0","0","0","0"
"5","Paralyzed poison","L1PoisonTrap","1066","1","0","0","0","p","5000","5000","0","0","0","0","0","0","0","0"
"6","weather","L1DamageTrap","1085","1","10","10","1","-","0","0","0","0","0","0","0","0","0","0"
"7","Needle (side)","L1DamageTrap","1070","1","10","10","1","-","0","0","0","0","0","0","0","0","0","0"
"8","TOI4F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45348","2","0","0","0","0","0"
"9","TOI8F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45407","2","0","0","0","0","0"
"10","TOI14F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45394","2","0","0","0","0","0"
"11","TOI18F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45406","2","0","0","0","0","0"
"12","TOI24F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45384","2","0","0","0","0","0"
"13","TOI28F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45471","2","0","0","0","0","0"
"14","TOI34F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45403","2","0","0","0","0","0"
"15","TOI38F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45455","2","0","0","0","0","0"
"16","TOI44F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45514","2","0","0","0","0","0"
"17","TOI48F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45522","2","0","0","0","0","0"
"18","TOI54F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45524","2","0","0","0","0","0"
"19","TOI64F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45528","2","0","0","0","0","0"
"20","TOI74F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45503","2","0","0","0","0","0"
"21","TOI78F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45532","2","0","0","0","0","0"
"22","TOI84F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45586","2","0","0","0","0","0"
"23","TOI94F monster","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45621","2","0","0","0","0","0"
"24","IT4F Aian Golem","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45372","2","0","0","0","0","0"
"25","IT4F Mimic","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45141","2","0","0","0","0","0"
"26","IT4F Living Ammo","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45322","2","0","0","0","0","0"
