"racerNumber","victoryNumber","loseNumber"
"1","203","771"
"2","194","811"
"3","177","815"
"4","224","818"
"5","154","814"
"6","222","782"
"7","169","785"
"8","241","758"
"9","140","835"
"10","170","800"
"11","237","716"
"12","233","749"
"13","161","819"
"14","180","767"
"15","188","803"
"16","234","763"
"17","231","757"
"18","152","805"
"19","221","758"
"20","194","781"
"21","268","740"
"22","218","764"
"23","187","821"
"24","164","829"
"25","158","831"
"26","211","755"
"27","204","786"
"28","165","801"
"29","183","782"
"30","219","787"
