"item_id","name","addDamege"
"9","オリハルコン ダガー","0"
"11","クリスタル ショートソード","0"
"12","\aH風刃の短剣","8"
"13","フィンガー オブ デス","1"
"14","混沌の爪","0"
"16","リベンジ ソード","0"
"49","ジェネラル ソード","0"
"50","フレイム ソード","0"
"51","ゴールデン スティック","0"
"54","カーツ ソード","5"
"55","ダーク ソード","0"
"56","デス ブレード","0"
"57","ツルギ","0"
"58","デスナイト フレイムブレード","5"
"61","\aH真冥王の執行剣","10"
"62","ジェネラル グレートソード","6"
"76","ロンドゥ デュアルブレード","8"
"81","ブラインド デュアルブレード","0"
"84","ダークネス デュアルブレード","4"
"86","\aHレッドシャドウ デュアルブレード","10"
"114","威厳の印","0"
"121","アイスクイーン スタッフ","8"
"124","バフォメット スタッフ","5"
"126","マナ スタッフ","0"
"127","アイアン マナ スタッフ","1"
"131","フォース スタッフ","0"
"134","\aH修正結晶棒","20"
"160","ビーストキング クロウ","0"
"162","ブラインド クロウ","0"
"164","ダークネス クロウ","0"
"166","ヘイトリッド クロウ","0"
"177","ブラインド クロスボウ","0"
"182","エンシェント ボーガン","0"
"184","フレイム ボウ","0"
"188","ラスタバド ヘビークロスボウ","0"
"189","ダークネス クロスボウ","5"
"190","サイハの弓","5"
"191","エンジェル スレイヤー","5"
"196","バルログのツーハンド ソード","0"
"197","バルログのツーハンド ソード","1"
"198","バルログのツーハンド ソード","1"
"199","バルログのツーハンド ソード","1"
"200","バルログのツーハンド ソード","1"
"201","バルログのツーハンド ソード","1"
"202","バルログのツーハンド ソード","1"
"203","バルログのツーハンド ソード","5"
"205","ルナ ロング ボウ","15"
"256","ハロウィン パンプキン ロングソード","0"
"294","\aH君主の雷剣","0"
"503","サファイア キーリンク","0"
"504","ダーク ストーン キーリンク","0"
"506","テーベ オシリス ツーハンド ソード","1"
"507","テーベ オシリス デュアルブレード","1"
"508","テーベ オシリス ボウ","15"
"509","テーベ オシリス スタッフ","1"
"600","ライトニング エッジ","0"
"601","ディストラクション","0"
"602","マナ バゼラード","0"
"603","エンジェル スタッフ","0"
"604","フリージング ランサー","0"
"605","レイジング ウィンド","0"
"614","ククルカン スピアー","1"
"1010","悪魔王のスタッフ","0"
"1011","悪魔王のスタッフ","0"
"1012","悪魔王のスタッフ","0"
"1013","悪魔王のスタッフ","0"
"1014","悪魔王のスタッフ","0"
"1108","隠された魔族のチェーンソード","0"
"1109","隠された魔族のクロウ","0"
"1110","隠された魔族のスタッフ","0"
"1111","隠された魔族のボウ","15"
"1112","隠された魔族のキーリンク","20"
"1113","隠された魔族のソード","0"
"1115","神妙なソード","0"
"1116","神妙な杖","0"
"1117","神妙なクロウ","0"
"1118","神妙なロングボウ","0"
"1119","極限のチェーンソード","10"
"1120","冷寒のキーリンク","20"
"1121","\aFナイトバルドのツーハンド ソード","7"
"1123","ブラッドサッカー","10"
"1124","破壊のクロウ","0"
"1125","破壊のデュアルブレード","0"
"1134","瞑想のスタッフ","0"
"1135","共鳴のキーリンク","0"
"1136","悪夢のロング ボウ","15"
"1137","震怒のクロウ","5"
"1509","テーベ オシリス スタッフ","1"
"10011","クリスタル ショートソード","0"
"10031","フォース スタッフ","0"
"11121","\aFナイトバルドのツーハンド ソード","10"
"11125","破壊のデュアルブレード","0"
"100009","オリハルコン ダガー","0"
"100049","ジェネラル ソード","0"
"100057","ツルギ","0"
"100062","ジェネラル グレートソード","7"
"100084","ダークネス デュアルブレード","4"
"100164","ダークネス クロウ","0"
"100189","ダークネス クロスボウ","0"
"100212","海神のトライデント","0"
"200172","ハロウィンパンプキンスタッフ","0"
"202000","指揮の剣","0"
"202002","レッドナイト グレートソード","3"
"202003","ゼロスのスタッフ","20"
"202011","\aHガイアの激怒","50"
"202012","\aHヒュペリオンの絶望","120"
"202013","\aHクロノスの恐怖","50"
"202014","\aHタイタンの憤怒","50"
"203002","レッドナイト グレートソード","3"
"203004","アイアン アックス","3"
"203005","ラフィアン アックス","4"
"203006","テンペスト アックス","5"
"203007","ジャイアント アックス","7"
"203011","隠された魔族のアックス","5"
"203017","\aF殲滅者のチェーンソード","20"
